metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "3.225, 4.651, 4.599, 3.690, 4.777", "s, s, s, s, s"
train metadata time, 20.942, s
train raw read time per epoch, "26.205, 25.597, 25.130, 25.821, 24.724", "s, s, s, s, s"
train total raw read time, 127.478, s
train raw read rate per epoch, "136.768, 140.014, 142.617, 138.803, 144.958", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 140.632, MB/s
train observed time per epoch, "54.321, 47.633, 44.582, 46.250, 44.230", "s, s, s, s, s"
train observed time, 237.016, s
train observed rate per epoch, "69.273, 79.557, 85.337, 82.078, 86.059", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 80.461, MB/s
train throughput samples per second per epoch, "1.031, 1.176, 1.256, 1.211, 1.266", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.188, samples/s
train throughput stdev samples per second, 0.085, samples/s
train io avg, 76.026, MB/s
train io stdev, 5.437, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "1.219, 1.211, 1.020, 0.909, 1.234", "s, s, s, s, s"
eval metadata time, 5.593, s
eval raw read time per epoch, "5.668, 5.849, 5.605, 6.154, 5.895", "s, s, s, s, s"
eval total raw read time, 29.171, s
eval raw read rate per epoch, "157.355, 152.588, 159.263, 144.958, 151.634", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 153.741, MB/s
eval observed time per epoch, "20.608, 18.786, 18.215, 18.727, 18.370", "s, s, s, s, s"
eval observed time, 94.706, s
eval observed rate per epoch, "48.836, 54.219, 56.162, 54.414, 55.621", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 53.851, MB/s
eval throughput samples per second per epoch, "0.679, 0.745, 0.769, 0.748, 0.762", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.741, samples/s
eval throughput stdev samples per second, 0.032, samples/s
eval io avg, 47.396, MB/s
eval io stdev, 2.037, MB/s
