metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.961, 2.836, 4.250, 2.448, 3.748", "s, s, s, s, s"
train metadata time, 16.243, s
train raw read time per epoch, "18.666, 18.371, 16.881, 18.772, 17.278", "s, s, s, s, s"
train total raw read time, 89.968, s
train raw read rate per epoch, "144.008, 146.314, 159.235, 143.188, 155.571", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 149.663, MB/s
train observed time per epoch, "60.581, 58.771, 60.027, 60.517, 57.766", "s, s, s, s, s"
train observed time, 297.661, s
train observed rate per epoch, "45.836, 47.296, 46.273, 45.887, 48.147", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 46.688, MB/s
train throughput samples per second per epoch, "0.693, 0.715, 0.700, 0.694, 0.727", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.706, samples/s
train throughput stdev samples per second, 0.013, samples/s
train io avg, 45.167, MB/s
train io stdev, 861.227, KB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "1.069, 0.629, 0.985, 0.989, 1.064", "s, s, s, s, s"
eval metadata time, 4.738, s
eval raw read time per epoch, "4.690, 4.907, 4.799, 4.774, 4.650", "s, s, s, s, s"
eval total raw read time, 23.819, s
eval raw read rate per epoch, "163.078, 156.402, 159.263, 160.217, 164.985", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 161.271, MB/s
eval observed time per epoch, "28.206, 29.089, 28.871, 29.270, 28.285", "s, s, s, s, s"
eval observed time, 143.721, s
eval observed rate per epoch, "29.236, 28.286, 28.515, 28.099, 29.148", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 28.657, MB/s
eval throughput samples per second per epoch, "0.425, 0.413, 0.416, 0.410, 0.424", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.418, samples/s
eval throughput stdev samples per second, 0.006, samples/s
eval io avg, 26.724, MB/s
eval io stdev, 407.530, KB/s
