metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "5.041, 3.440, 5.572, 6.366, 3.926", "s, s, s, s, s"
train metadata time, 24.345, s
train raw read time per epoch, "23.963, 25.294, 23.551, 22.538, 24.802", "s, s, s, s, s"
train total raw read time, 120.147, s
train raw read rate per epoch, "149.564, 141.694, 152.178, 159.022, 144.507", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 149.394, MB/s
train observed time per epoch, "45.201, 42.835, 41.801, 42.409, 42.486", "s, s, s, s, s"
train observed time, 214.731, s
train observed rate per epoch, "84.099, 89.041, 91.389, 89.993, 89.820", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 88.868, MB/s
train throughput samples per second per epoch, "1.239, 1.307, 1.340, 1.320, 1.318", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.305, samples/s
train throughput stdev samples per second, 0.035, samples/s
train io avg, 83.514, MB/s
train io stdev, 2.214, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "1.668, 1.587, 1.277, 1.624, 1.144", "s, s, s, s, s"
eval metadata time, 7.300, s
eval raw read time per epoch, "5.209, 5.469, 5.368, 5.242, 5.554", "s, s, s, s, s"
eval total raw read time, 26.841, s
eval raw read rate per epoch, "171.661, 163.078, 166.893, 170.707, 161.171", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 167.007, MB/s
eval observed time per epoch, "17.968, 18.204, 17.516, 18.010, 18.154", "s, s, s, s, s"
eval observed time, 89.852, s
eval observed rate per epoch, "57.043, 56.199, 58.734, 56.892, 56.377", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 57.049, MB/s
eval throughput samples per second per epoch, "0.779, 0.769, 0.799, 0.777, 0.771", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.779, samples/s
eval throughput stdev samples per second, 0.011, samples/s
eval io avg, 49.868, MB/s
eval io stdev, 701.810, KB/s
