metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "4.407, 3.680, 4.683, 3.960, 5.729", "s, s, s, s, s"
train metadata time, 22.459, s
train raw read time per epoch, "24.905, 25.621, 24.330, 25.195, 23.158", "s, s, s, s, s"
train total raw read time, 123.210, s
train raw read rate per epoch, "143.903, 139.883, 147.306, 142.253, 154.763", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 145.621, MB/s
train observed time per epoch, "57.228, 51.964, 43.878, 42.514, 42.380", "s, s, s, s, s"
train observed time, 237.963, s
train observed rate per epoch, "65.588, 72.580, 86.792, 89.757, 90.060", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 80.955, MB/s
train throughput samples per second per epoch, "0.979, 1.078, 1.276, 1.317, 1.321", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.194, samples/s
train throughput stdev samples per second, 0.140, samples/s
train io avg, 76.430, MB/s
train io stdev, 8.966, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "1.506, 1.161, 1.603, 0.960, 0.967", "s, s, s, s, s"
eval metadata time, 6.197, s
eval raw read time per epoch, "5.141, 5.555, 5.167, 5.849, 5.638", "s, s, s, s, s"
eval total raw read time, 27.352, s
eval raw read rate per epoch, "173.568, 161.171, 172.614, 152.588, 158.310", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 164.210, MB/s
eval observed time per epoch, "20.301, 19.238, 18.397, 18.241, 18.123", "s, s, s, s, s"
eval observed time, 94.299, s
eval observed rate per epoch, "49.668, 52.775, 55.529, 56.070, 56.488", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 54.106, MB/s
eval throughput samples per second per epoch, "0.690, 0.728, 0.761, 0.768, 0.773", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.744, samples/s
eval throughput stdev samples per second, 0.031, samples/s
eval io avg, 47.595, MB/s
eval io stdev, 1.998, MB/s
