metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "4.000, 4.145, 5.083, 3.876, 3.567", "s, s, s, s, s"
train metadata time, 20.669, s
train raw read time per epoch, "25.043, 24.852, 23.969, 25.460, 25.405", "s, s, s, s, s"
train total raw read time, 124.729, s
train raw read rate per epoch, "143.112, 144.211, 149.528, 140.769, 141.076", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 143.739, MB/s
train observed time per epoch, "42.594, 41.729, 41.888, 42.491, 41.724", "s, s, s, s, s"
train observed time, 210.426, s
train observed rate per epoch, "89.577, 91.557, 91.188, 89.809, 91.567", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 90.739, MB/s
train throughput samples per second per epoch, "1.315, 1.342, 1.337, 1.318, 1.342", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.331, samples/s
train throughput stdev samples per second, 0.012, samples/s
train io avg, 85.167, MB/s
train io stdev, 783.590, KB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "1.179, 1.131, 1.065, 1.029, 0.908", "s, s, s, s, s"
eval metadata time, 5.312, s
eval raw read time per epoch, "5.544, 5.513, 5.857, 5.877, 5.776", "s, s, s, s, s"
eval total raw read time, 28.567, s
eval raw read rate per epoch, "161.171, 162.124, 152.588, 151.634, 154.495", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 156.940, MB/s
eval observed time per epoch, "18.178, 18.361, 18.625, 18.378, 18.231", "s, s, s, s, s"
eval observed time, 91.773, s
eval observed rate per epoch, "56.292, 55.652, 54.754, 55.592, 56.104", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 55.679, MB/s
eval throughput samples per second per epoch, "0.770, 0.762, 0.752, 0.762, 0.768", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.763, samples/s
eval throughput stdev samples per second, 0.006, samples/s
eval io avg, 48.819, MB/s
eval io stdev, 420.194, KB/s
