metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "6.505, 6.066, 5.664, 6.303, 6.020", "s, s, s, s, s"
train metadata time, 30.558, s
train raw read time per epoch, "37.788, 29.938, 30.061, 29.504, 28.045", "s, s, s, s, s"
train total raw read time, 155.336, s
train raw read rate per epoch, "94.844, 119.715, 119.224, 121.477, 127.793", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 116.610, MB/s
train observed time per epoch, "55.193, 48.609, 47.940, 46.209, 45.724", "s, s, s, s, s"
train observed time, 243.675, s
train observed rate per epoch, "68.125, 77.869, 79.019, 82.154, 83.078", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 78.049, MB/s
train throughput samples per second per epoch, "1.015, 1.152, 1.168, 1.212, 1.225", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.154, samples/s
train throughput stdev samples per second, 0.075, samples/s
train io avg, 73.874, MB/s
train io stdev, 4.788, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "1.895, 1.264, 1.806, 1.075, 1.008", "s, s, s, s, s"
eval metadata time, 7.048, s
eval raw read time per epoch, "7.353, 7.535, 6.465, 7.465, 6.997", "s, s, s, s, s"
eval total raw read time, 35.814, s
eval raw read rate per epoch, "121.116, 118.255, 138.282, 119.209, 127.792", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 125.489, MB/s
eval observed time per epoch, "19.280, 18.903, 17.535, 18.030, 18.064", "s, s, s, s, s"
eval observed time, 91.811, s
eval observed rate per epoch, "52.647, 53.840, 58.662, 56.820, 56.699", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 55.733, MB/s
eval throughput samples per second per epoch, "0.726, 0.741, 0.798, 0.776, 0.775", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.763, samples/s
eval throughput stdev samples per second, 0.026, samples/s
eval io avg, 48.854, MB/s
eval io stdev, 1.678, MB/s
