metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.980, 2.700, 2.496, 2.868, 3.172", "s, s, s, s, s"
train metadata time, 14.216, s
train raw read time per epoch, "17.790, 18.811, 19.045, 18.752, 18.445", "s, s, s, s, s"
train total raw read time, 92.843, s
train raw read rate per epoch, "151.095, 142.895, 141.136, 143.347, 145.729", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 144.840, MB/s
train observed time per epoch, "32.926, 32.754, 31.975, 31.914, 31.909", "s, s, s, s, s"
train observed time, 161.477, s
train observed rate per epoch, "86.743, 87.228, 89.489, 89.672, 89.688", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 88.563, MB/s
train throughput samples per second per epoch, "1.276, 1.282, 1.314, 1.316, 1.316", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.301, samples/s
train throughput stdev samples per second, 0.018, samples/s
train io avg, 83.247, MB/s
train io stdev, 1.148, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "0.753, 0.624, 1.039, 0.872, 0.860", "s, s, s, s, s"
eval metadata time, 4.148, s
eval raw read time per epoch, "5.030, 5.390, 4.795, 5.203, 4.660", "s, s, s, s, s"
eval total raw read time, 25.078, s
eval raw read rate per epoch, "152.588, 142.097, 159.263, 146.865, 164.031", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 153.550, MB/s
eval observed time per epoch, "15.902, 15.196, 15.198, 16.050, 14.804", "s, s, s, s, s"
eval observed time, 77.150, s
eval observed rate per epoch, "54.999, 57.928, 57.918, 54.422, 59.692", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 56.991, MB/s
eval throughput samples per second per epoch, "0.755, 0.790, 0.790, 0.748, 0.811", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.778, samples/s
eval throughput stdev samples per second, 0.024, samples/s
eval io avg, 49.819, MB/s
eval io stdev, 1.514, MB/s
