metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.248, 2.830, 2.994, 3.010, 2.675", "s, s, s, s, s"
train metadata time, 13.757, s
train raw read time per epoch, "19.310, 18.860, 18.409, 18.487, 19.004", "s, s, s, s, s"
train total raw read time, 94.068, s
train raw read rate per epoch, "139.202, 142.526, 146.019, 145.402, 141.446", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 142.919, MB/s
train observed time per epoch, "32.654, 32.488, 32.620, 32.598, 32.149", "s, s, s, s, s"
train observed time, 162.509, s
train observed rate per epoch, "87.510, 87.985, 87.609, 87.672, 88.974", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 87.950, MB/s
train throughput samples per second per epoch, "1.286, 1.293, 1.288, 1.288, 1.306", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.292, samples/s
train throughput stdev samples per second, 0.007, samples/s
train io avg, 82.705, MB/s
train io stdev, 485.304, KB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "0.795, 0.676, 1.121, 0.992, 1.068", "s, s, s, s, s"
eval metadata time, 4.651, s
eval raw read time per epoch, "5.040, 5.123, 4.517, 5.035, 4.970", "s, s, s, s, s"
eval total raw read time, 24.686, s
eval raw read rate per epoch, "151.634, 149.727, 169.754, 151.634, 154.495", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 155.869, MB/s
eval observed time per epoch, "15.809, 15.756, 15.852, 16.194, 14.932", "s, s, s, s, s"
eval observed time, 78.542, s
eval observed rate per epoch, "55.368, 55.578, 55.196, 53.873, 59.104", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 55.824, MB/s
eval throughput samples per second per epoch, "0.759, 0.762, 0.757, 0.741, 0.804", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.764, samples/s
eval throughput stdev samples per second, 0.021, samples/s
eval io avg, 48.926, MB/s
eval io stdev, 1.335, MB/s
