metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.747, 2.939, 2.093, 2.747, 2.551", "s, s, s, s, s"
train metadata time, 13.078, s
train raw read time per epoch, "19.538, 18.942, 20.032, 19.335, 19.434", "s, s, s, s, s"
train total raw read time, 97.282, s
train raw read rate per epoch, "137.575, 141.907, 134.182, 139.021, 138.312", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 138.199, MB/s
train observed time per epoch, "32.667, 33.461, 33.768, 33.662, 32.361", "s, s, s, s, s"
train observed time, 165.919, s
train observed rate per epoch, "87.475, 85.270, 84.449, 84.729, 88.355", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 86.056, MB/s
train throughput samples per second per epoch, "1.286, 1.255, 1.244, 1.248, 1.298", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.266, samples/s
train throughput stdev samples per second, 0.022, samples/s
train io avg, 81.026, MB/s
train io stdev, 1.387, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "0.753, 0.655, 0.871, 0.824, 0.835", "s, s, s, s, s"
eval metadata time, 3.938, s
eval raw read time per epoch, "4.860, 5.095, 4.974, 5.104, 4.986", "s, s, s, s, s"
eval total raw read time, 25.019, s
eval raw read rate per epoch, "157.355, 150.680, 153.541, 149.727, 153.541", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 153.534, MB/s
eval observed time per epoch, "15.383, 15.604, 16.432, 16.060, 16.212", "s, s, s, s, s"
eval observed time, 79.690, s
eval observed rate per epoch, "57.122, 56.198, 52.987, 54.383, 53.804", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 54.898, MB/s
eval throughput samples per second per epoch, "0.780, 0.769, 0.730, 0.747, 0.740", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.753, samples/s
eval throughput stdev samples per second, 0.018, samples/s
eval io avg, 48.215, MB/s
eval io stdev, 1.181, MB/s
