metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.416, 2.998, 2.498, 2.713, 2.648", "s, s, s, s, s"
train metadata time, 13.272, s
train raw read time per epoch, "19.881, 19.117, 19.602, 19.522, 19.507", "s, s, s, s, s"
train total raw read time, 97.630, s
train raw read rate per epoch, "135.204, 140.604, 137.127, 137.688, 137.797", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 137.684, MB/s
train observed time per epoch, "43.554, 39.757, 38.687, 38.799, 37.797", "s, s, s, s, s"
train observed time, 198.594, s
train observed rate per epoch, "64.591, 71.075, 73.145, 72.923, 74.959", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 71.339, MB/s
train throughput samples per second per epoch, "0.964, 1.056, 1.086, 1.083, 1.111", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.060, samples/s
train throughput stdev samples per second, 0.051, samples/s
train io avg, 67.841, MB/s
train io stdev, 3.257, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "0.965, 1.048, 0.801, 0.984, 0.792", "s, s, s, s, s"
eval metadata time, 4.591, s
eval raw read time per epoch, "5.056, 4.750, 5.176, 4.966, 5.033", "s, s, s, s, s"
eval total raw read time, 24.981, s
eval raw read rate per epoch, "151.634, 161.171, 147.819, 154.495, 152.588", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 153.839, MB/s
eval observed time per epoch, "17.067, 17.319, 17.012, 17.554, 17.447", "s, s, s, s, s"
eval observed time, 86.399, s
eval observed rate per epoch, "50.763, 49.932, 50.948, 49.181, 49.520", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 50.068, MB/s
eval throughput samples per second per epoch, "0.703, 0.693, 0.705, 0.684, 0.688", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.695, samples/s
eval throughput stdev samples per second, 0.008, samples/s
eval io avg, 44.451, MB/s
eval io stdev, 555.100, KB/s
