metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "3.053, 2.868, 2.694, 4.088, 3.201", "s, s, s, s, s"
train metadata time, 15.904, s
train raw read time per epoch, "19.824, 19.462, 20.019, 18.153, 19.135", "s, s, s, s, s"
train total raw read time, 96.592, s
train raw read rate per epoch, "135.596, 138.118, 134.270, 148.077, 140.473", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 139.307, MB/s
train observed time per epoch, "31.928, 32.018, 31.864, 31.843, 31.733", "s, s, s, s, s"
train observed time, 159.385, s
train observed rate per epoch, "89.630, 89.362, 89.820, 89.885, 90.217", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 89.783, MB/s
train throughput samples per second per epoch, "1.315, 1.312, 1.318, 1.319, 1.324", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.318, samples/s
train throughput stdev samples per second, 0.004, samples/s
train io avg, 84.324, MB/s
train io stdev, 255.552, KB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "0.779, 1.069, 0.605, 0.996, 1.027", "s, s, s, s, s"
eval metadata time, 4.474, s
eval raw read time per epoch, "5.037, 4.961, 5.318, 5.038, 5.047", "s, s, s, s, s"
eval total raw read time, 25.402, s
eval raw read rate per epoch, "151.634, 154.495, 144.004, 151.634, 151.634", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 151.256, MB/s
eval observed time per epoch, "15.520, 15.458, 15.256, 16.128, 15.885", "s, s, s, s, s"
eval observed time, 78.246, s
eval observed rate per epoch, "56.545, 56.806, 57.667, 54.123, 55.066", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 56.041, MB/s
eval throughput samples per second per epoch, "0.773, 0.776, 0.787, 0.744, 0.755", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.767, samples/s
eval throughput stdev samples per second, 0.015, samples/s
eval io avg, 49.095, MB/s
eval io stdev, 1001.925, KB/s
