metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "3.073, 2.745, 2.902, 2.514, 2.603", "s, s, s, s, s"
train metadata time, 13.837, s
train raw read time per epoch, "19.093, 19.160, 19.063, 19.429, 19.345", "s, s, s, s, s"
train total raw read time, 96.091, s
train raw read rate per epoch, "140.783, 140.289, 141.002, 138.353, 138.947", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 139.875, MB/s
train observed time per epoch, "32.339, 33.051, 32.974, 32.182, 32.576", "s, s, s, s, s"
train observed time, 163.121, s
train observed rate per epoch, "88.419, 86.394, 86.609, 88.877, 87.734", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 87.606, MB/s
train throughput samples per second per epoch, "1.299, 1.271, 1.274, 1.305, 1.289", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.288, samples/s
train throughput stdev samples per second, 0.013, samples/s
train io avg, 82.401, MB/s
train io stdev, 883.665, KB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "0.627, 0.956, 0.617, 0.651, 0.905", "s, s, s, s, s"
eval metadata time, 3.756, s
eval raw read time per epoch, "5.363, 5.041, 5.317, 5.285, 5.054", "s, s, s, s, s"
eval total raw read time, 26.060, s
eval raw read rate per epoch, "143.051, 151.634, 144.004, 144.958, 151.634", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 147.454, MB/s
eval observed time per epoch, "15.765, 15.784, 16.134, 15.246, 15.407", "s, s, s, s, s"
eval observed time, 78.336, s
eval observed rate per epoch, "55.544, 55.465, 54.101, 57.711, 57.018", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 55.968, MB/s
eval throughput samples per second per epoch, "0.761, 0.760, 0.744, 0.787, 0.779", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.766, samples/s
eval throughput stdev samples per second, 0.015, samples/s
eval io avg, 49.039, MB/s
eval io stdev, 998.147, KB/s
