metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.815, 2.745, 2.520, 3.097, 2.629", "s, s, s, s, s"
train metadata time, 13.806, s
train raw read time per epoch, "19.548, 19.363, 19.594, 18.848, 19.559", "s, s, s, s, s"
train total raw read time, 96.912, s
train raw read rate per epoch, "137.505, 138.823, 137.185, 142.615, 137.432", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 138.712, MB/s
train observed time per epoch, "31.554, 32.141, 31.633, 31.974, 31.287", "s, s, s, s, s"
train observed time, 158.589, s
train observed rate per epoch, "90.762, 88.996, 90.520, 89.492, 91.589", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 90.271, MB/s
train throughput samples per second per epoch, "1.331, 1.307, 1.328, 1.314, 1.342", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.324, samples/s
train throughput stdev samples per second, 0.013, samples/s
train io avg, 84.755, MB/s
train io stdev, 834.083, KB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "0.694, 0.765, 0.980, 0.733, 0.785", "s, s, s, s, s"
eval metadata time, 3.956, s
eval raw read time per epoch, "5.293, 5.033, 4.895, 5.290, 4.989", "s, s, s, s, s"
eval total raw read time, 25.501, s
eval raw read rate per epoch, "144.958, 151.634, 156.402, 144.958, 153.541", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 150.733, MB/s
eval observed time per epoch, "15.729, 15.451, 16.049, 15.256, 16.451", "s, s, s, s, s"
eval observed time, 78.935, s
eval observed rate per epoch, "55.689, 56.834, 54.426, 57.667, 52.918", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 55.507, MB/s
eval throughput samples per second per epoch, "0.763, 0.777, 0.748, 0.787, 0.729", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.761, samples/s
eval throughput stdev samples per second, 0.020, samples/s
eval io avg, 48.683, MB/s
eval io stdev, 1.304, MB/s
