metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "3.463, 2.820, 3.014, 3.270, 2.331", "s, s, s, s, s"
train metadata time, 14.897, s
train raw read time per epoch, "18.115, 18.701, 18.714, 18.244, 19.312", "s, s, s, s, s"
train total raw read time, 93.086, s
train raw read rate per epoch, "148.388, 143.731, 143.638, 147.333, 139.188", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 144.455, MB/s
train observed time per epoch, "31.552, 32.175, 31.566, 31.712, 31.052", "s, s, s, s, s"
train observed time, 158.058, s
train observed rate per epoch, "90.768, 88.896, 90.724, 90.279, 92.325", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 90.599, MB/s
train throughput samples per second per epoch, "1.331, 1.305, 1.331, 1.324, 1.353", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.329, samples/s
train throughput stdev samples per second, 0.015, samples/s
train io avg, 85.043, MB/s
train io stdev, 990.451, KB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "0.856, 1.436, 0.800, 0.518, 1.093", "s, s, s, s, s"
eval metadata time, 4.704, s
eval raw read time per epoch, "4.859, 4.424, 5.165, 5.211, 4.655", "s, s, s, s, s"
eval total raw read time, 24.313, s
eval raw read rate per epoch, "157.355, 173.568, 147.819, 146.865, 164.985", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 158.547, MB/s
eval observed time per epoch, "15.363, 15.629, 15.586, 16.231, 15.738", "s, s, s, s, s"
eval observed time, 78.546, s
eval observed rate per epoch, "57.206, 56.096, 56.271, 53.731, 55.653", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 55.792, MB/s
eval throughput samples per second per epoch, "0.781, 0.768, 0.770, 0.739, 0.763", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.764, samples/s
eval throughput stdev samples per second, 0.014, samples/s
eval io avg, 48.904, MB/s
eval io stdev, 904.955, KB/s
