metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.399, 2.326, 2.393, 2.602, 3.183", "s, s, s, s, s"
train metadata time, 12.903, s
train raw read time per epoch, "19.769, 19.413, 19.613, 19.172, 18.649", "s, s, s, s, s"
train total raw read time, 96.615, s
train raw read rate per epoch, "135.971, 138.466, 137.052, 140.207, 144.140", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 139.167, MB/s
train observed time per epoch, "32.114, 31.533, 32.842, 31.865, 32.015", "s, s, s, s, s"
train observed time, 160.368, s
train observed rate per epoch, "89.077, 90.825, 86.979, 89.818, 89.370", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 89.214, MB/s
train throughput samples per second per epoch, "1.308, 1.332, 1.279, 1.318, 1.312", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.310, samples/s
train throughput stdev samples per second, 0.017, samples/s
train io avg, 83.821, MB/s
train io stdev, 1.116, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "0.877, 0.949, 1.301, 0.646, 1.031", "s, s, s, s, s"
eval metadata time, 4.805, s
eval raw read time per epoch, "4.044, 3.926, 3.662, 4.340, 3.886", "s, s, s, s, s"
eval total raw read time, 19.859, s
eval raw read rate per epoch, "157.355, 162.124, 174.521, 146.865, 164.031", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 161.634, MB/s
eval observed time per epoch, "13.501, 12.973, 12.761, 12.408, 12.694", "s, s, s, s, s"
eval observed time, 64.337, s
eval observed rate per epoch, "53.844, 56.348, 57.419, 59.295, 57.769", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 56.935, MB/s
eval throughput samples per second per epoch, "0.741, 0.771, 0.784, 0.806, 0.788", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.778, samples/s
eval throughput stdev samples per second, 0.022, samples/s
eval io avg, 49.776, MB/s
eval io stdev, 1.387, MB/s
