metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.388, 2.564, 2.417, 2.997, 2.279", "s, s, s, s, s"
train metadata time, 12.644, s
train raw read time per epoch, "19.660, 19.435, 19.656, 18.680, 19.651", "s, s, s, s, s"
train total raw read time, 97.082, s
train raw read rate per epoch, "136.723, 138.304, 136.750, 143.900, 136.787", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 138.493, MB/s
train observed time per epoch, "33.273, 32.131, 31.649, 31.802, 32.106", "s, s, s, s, s"
train observed time, 160.960, s
train observed rate per epoch, "85.781, 89.027, 90.473, 90.008, 89.102", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 88.878, MB/s
train throughput samples per second per epoch, "1.262, 1.307, 1.327, 1.321, 1.308", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.305, samples/s
train throughput stdev samples per second, 0.023, samples/s
train io avg, 83.524, MB/s
train io stdev, 1.451, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "0.632, 0.564, 0.610, 0.652, 0.613", "s, s, s, s, s"
eval metadata time, 3.071, s
eval raw read time per epoch, "4.373, 4.468, 4.152, 4.255, 4.470", "s, s, s, s, s"
eval total raw read time, 21.718, s
eval raw read rate per epoch, "145.912, 143.051, 153.541, 149.727, 143.051", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 147.461, MB/s
eval observed time per epoch, "12.929, 13.859, 12.797, 13.603, 13.464", "s, s, s, s, s"
eval observed time, 66.652, s
eval observed rate per epoch, "56.567, 52.271, 57.235, 53.387, 54.013", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 54.694, MB/s
eval throughput samples per second per epoch, "0.773, 0.722, 0.781, 0.735, 0.743", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.751, samples/s
eval throughput stdev samples per second, 0.023, samples/s
eval io avg, 48.055, MB/s
eval io stdev, 1.464, MB/s
