metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.566, 2.172, 2.207, 2.263, 2.607", "s, s, s, s, s"
train metadata time, 11.815, s
train raw read time per epoch, "19.561, 19.934, 19.574, 19.795, 19.126", "s, s, s, s, s"
train total raw read time, 97.990, s
train raw read rate per epoch, "137.417, 134.844, 137.326, 135.788, 140.541", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 137.184, MB/s
train observed time per epoch, "32.076, 32.146, 32.628, 31.886, 31.703", "s, s, s, s, s"
train observed time, 160.439, s
train observed rate per epoch, "89.189, 88.983, 87.586, 89.754, 90.308", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 89.164, MB/s
train throughput samples per second per epoch, "1.309, 1.307, 1.287, 1.317, 1.325", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.309, samples/s
train throughput stdev samples per second, 0.013, samples/s
train io avg, 83.777, MB/s
train io stdev, 826.927, KB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "0.618, 0.649, 0.872, 0.610, 0.778", "s, s, s, s, s"
eval metadata time, 3.528, s
eval raw read time per epoch, "4.179, 4.224, 3.915, 4.551, 4.166", "s, s, s, s, s"
eval total raw read time, 21.035, s
eval raw read rate per epoch, "152.588, 150.680, 163.078, 140.189, 153.541", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 152.475, MB/s
eval observed time per epoch, "13.146, 13.534, 13.331, 13.137, 13.541", "s, s, s, s, s"
eval observed time, 66.688, s
eval observed rate per epoch, "55.502, 53.697, 54.625, 55.546, 53.665", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 54.607, MB/s
eval throughput samples per second per epoch, "0.761, 0.739, 0.750, 0.761, 0.739", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.750, samples/s
eval throughput stdev samples per second, 0.010, samples/s
eval io avg, 47.992, MB/s
eval io stdev, 652.155, KB/s
