metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.604, 2.421, 2.430, 2.433, 2.133", "s, s, s, s, s"
train metadata time, 12.021, s
train raw read time per epoch, "19.729, 19.932, 19.601, 19.373, 19.978", "s, s, s, s, s"
train total raw read time, 98.613, s
train raw read rate per epoch, "136.245, 134.855, 137.134, 138.751, 134.548", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 136.307, MB/s
train observed time per epoch, "31.713, 31.638, 32.343, 31.336, 31.133", "s, s, s, s, s"
train observed time, 158.162, s
train observed rate per epoch, "90.278, 90.505, 88.406, 91.436, 92.069", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 90.539, MB/s
train throughput samples per second per epoch, "1.324, 1.328, 1.299, 1.340, 1.349", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.328, samples/s
train throughput stdev samples per second, 0.017, samples/s
train io avg, 84.990, MB/s
train io stdev, 1.098, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "0.488, 0.537, 0.965, 0.616, 0.488", "s, s, s, s, s"
eval metadata time, 3.095, s
eval raw read time per epoch, "4.318, 4.442, 3.944, 4.289, 4.546", "s, s, s, s, s"
eval total raw read time, 21.538, s
eval raw read rate per epoch, "147.819, 144.004, 162.124, 148.772, 140.189", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 148.919, MB/s
eval observed time per epoch, "12.961, 12.801, 12.796, 12.782, 13.476", "s, s, s, s, s"
eval observed time, 64.816, s
eval observed rate per epoch, "56.409, 57.212, 57.238, 57.312, 53.958", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 56.426, MB/s
eval throughput samples per second per epoch, "0.772, 0.781, 0.781, 0.782, 0.742", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.772, samples/s
eval throughput stdev samples per second, 0.015, samples/s
eval io avg, 49.390, MB/s
eval io stdev, 1005.401, KB/s
