metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.155, 2.956, 2.539, 2.802, 2.600", "s, s, s, s, s"
train metadata time, 13.053, s
train raw read time per epoch, "19.832, 18.806, 19.208, 19.136, 19.244", "s, s, s, s, s"
train total raw read time, 96.227, s
train raw read rate per epoch, "135.535, 142.930, 139.938, 140.471, 139.678", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 139.710, MB/s
train observed time per epoch, "32.137, 32.041, 31.642, 32.047, 31.939", "s, s, s, s, s"
train observed time, 159.806, s
train observed rate per epoch, "89.010, 89.292, 90.491, 89.276, 89.596", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 89.533, MB/s
train throughput samples per second per epoch, "1.307, 1.311, 1.327, 1.311, 1.315", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.314, samples/s
train throughput stdev samples per second, 0.007, samples/s
train io avg, 84.104, MB/s
train io stdev, 464.121, KB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "0.636, 0.603, 0.880, 0.471, 0.890", "s, s, s, s, s"
eval metadata time, 3.480, s
eval raw read time per epoch, "4.512, 4.351, 3.991, 4.490, 4.032", "s, s, s, s, s"
eval total raw read time, 21.376, s
eval raw read rate per epoch, "141.144, 146.865, 160.217, 142.097, 158.310", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 150.110, MB/s
eval observed time per epoch, "13.261, 13.496, 12.525, 12.938, 13.607", "s, s, s, s, s"
eval observed time, 65.826, s
eval observed rate per epoch, "54.956, 53.869, 58.659, 56.521, 53.370", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 55.475, MB/s
eval throughput samples per second per epoch, "0.754, 0.741, 0.798, 0.773, 0.735", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.760, samples/s
eval throughput stdev samples per second, 0.023, samples/s
eval io avg, 48.656, MB/s
eval io stdev, 1.477, MB/s
