metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "3.227, 2.218, 2.183, 2.530, 2.208", "s, s, s, s, s"
train metadata time, 12.366, s
train raw read time per epoch, "19.352, 20.125, 20.100, 19.885, 20.296", "s, s, s, s, s"
train total raw read time, 99.758, s
train raw read rate per epoch, "138.900, 133.565, 133.732, 135.175, 132.438", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 134.762, MB/s
train observed time per epoch, "32.329, 32.065, 32.134, 31.537, 31.545", "s, s, s, s, s"
train observed time, 159.610, s
train observed rate per epoch, "88.448, 89.221, 89.017, 90.813, 90.789", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 89.657, MB/s
train throughput samples per second per epoch, "1.299, 1.310, 1.307, 1.332, 1.331", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.316, samples/s
train throughput stdev samples per second, 0.013, samples/s
train io avg, 84.213, MB/s
train io stdev, 874.028, KB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "0.697, 0.816, 0.578, 0.545, 0.717", "s, s, s, s, s"
eval metadata time, 3.353, s
eval raw read time per epoch, "4.261, 4.075, 4.366, 4.374, 4.086", "s, s, s, s, s"
eval total raw read time, 21.161, s
eval raw read rate per epoch, "149.727, 156.402, 145.912, 145.912, 156.402", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 151.363, MB/s
eval observed time per epoch, "13.556, 13.174, 12.742, 12.983, 13.679", "s, s, s, s, s"
eval observed time, 66.133, s
eval observed rate per epoch, "53.597, 55.367, 57.517, 56.300, 53.051", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 55.166, MB/s
eval throughput samples per second per epoch, "0.738, 0.759, 0.785, 0.770, 0.731", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.757, samples/s
eval throughput stdev samples per second, 0.020, samples/s
eval io avg, 48.420, MB/s
eval io stdev, 1.279, MB/s
