metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.303, 3.033, 2.289, 2.165, 3.165", "s, s, s, s, s"
train metadata time, 12.955, s
train raw read time per epoch, "20.222, 19.550, 19.979, 20.317, 18.849", "s, s, s, s, s"
train total raw read time, 98.916, s
train raw read rate per epoch, "132.926, 137.494, 134.540, 132.305, 142.610", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 135.975, MB/s
train observed time per epoch, "32.406, 32.065, 32.333, 31.717, 32.133", "s, s, s, s, s"
train observed time, 160.654, s
train observed rate per epoch, "88.222, 89.223, 88.436, 90.265, 89.021", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 89.033, MB/s
train throughput samples per second per epoch, "1.296, 1.310, 1.299, 1.324, 1.307", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.307, samples/s
train throughput stdev samples per second, 0.010, samples/s
train io avg, 83.662, MB/s
train io stdev, 647.831, KB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "0.545, 0.770, 0.752, 0.610, 0.549", "s, s, s, s, s"
eval metadata time, 3.225, s
eval raw read time per epoch, "4.428, 4.165, 4.536, 4.495, 4.283", "s, s, s, s, s"
eval total raw read time, 21.907, s
eval raw read rate per epoch, "144.004, 153.541, 140.189, 142.097, 148.772", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 146.220, MB/s
eval observed time per epoch, "13.337, 12.480, 12.873, 12.905, 13.468", "s, s, s, s, s"
eval observed time, 65.063, s
eval observed rate per epoch, "54.598, 58.906, 56.847, 56.688, 53.992", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 56.206, MB/s
eval throughput samples per second per epoch, "0.750, 0.801, 0.777, 0.775, 0.742", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.769, samples/s
eval throughput stdev samples per second, 0.021, samples/s
eval io avg, 49.219, MB/s
eval io stdev, 1.346, MB/s
