metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.349, 2.510, 2.620, 2.721, 2.139", "s, s, s, s, s"
train metadata time, 12.340, s
train raw read time per epoch, "19.743, 19.288, 19.263, 18.991, 19.716", "s, s, s, s, s"
train total raw read time, 97.001, s
train raw read rate per epoch, "136.146, 139.359, 139.541, 141.541, 136.337", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 138.585, MB/s
train observed time per epoch, "31.533, 31.879, 31.242, 31.962, 31.711", "s, s, s, s, s"
train observed time, 158.327, s
train observed rate per epoch, "90.825, 89.777, 91.728, 89.526, 90.283", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 90.428, MB/s
train throughput samples per second per epoch, "1.332, 1.318, 1.344, 1.314, 1.324", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.326, samples/s
train throughput stdev samples per second, 0.011, samples/s
train io avg, 84.893, MB/s
train io stdev, 710.647, KB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "0.862, 1.074, 0.772, 0.903, 0.460", "s, s, s, s, s"
eval metadata time, 4.070, s
eval raw read time per epoch, "4.004, 4.078, 4.181, 3.922, 4.299", "s, s, s, s, s"
eval total raw read time, 20.484, s
eval raw read rate per epoch, "159.263, 156.402, 152.588, 163.078, 148.772", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 156.383, MB/s
eval observed time per epoch, "12.940, 13.505, 12.815, 13.505, 13.597", "s, s, s, s, s"
eval observed time, 66.363, s
eval observed rate per epoch, "56.513, 53.824, 57.144, 53.824, 53.413", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 54.943, MB/s
eval throughput samples per second per epoch, "0.773, 0.740, 0.780, 0.740, 0.735", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.754, samples/s
eval throughput stdev samples per second, 0.019, samples/s
eval io avg, 48.249, MB/s
eval io stdev, 1.200, MB/s
