metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "2.559, 2.106, 1.852, 1.953, 1.638", "s, s, s, s, s"
train metadata time, 10.109, s
train raw read time per epoch, "15.846, 16.026, 16.371, 16.442, 16.539", "s, s, s, s, s"
train total raw read time, 81.224, s
train raw read rate per epoch, "141.356, 139.776, 136.823, 136.234, 135.439", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 137.926, MB/s
train observed time per epoch, "27.277, 27.288, 27.080, 26.898, 27.303", "s, s, s, s, s"
train observed time, 135.846, s
train observed rate per epoch, "87.289, 87.251, 87.963, 88.596, 87.200", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 87.660, MB/s
train throughput samples per second per epoch, "1.283, 1.283, 1.292, 1.301, 1.282", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.288, samples/s
train throughput stdev samples per second, 0.008, samples/s
train io avg, 82.448, MB/s
train io stdev, 493.188, KB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.563, 0.465, 0.401, 0.461, 0.401", "s, s, s, s, s"
eval metadata time, 2.290, s
eval raw read time per epoch, "3.405, 3.537, 3.533, 3.351, 3.670", "s, s, s, s, s"
eval total raw read time, 17.496, s
eval raw read rate per epoch, "149.727, 144.004, 144.004, 152.588, 139.236", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 146.466, MB/s
eval observed time per epoch, "11.202, 10.748, 11.413, 12.316, 11.096", "s, s, s, s, s"
eval observed time, 56.775, s
eval observed rate per epoch, "51.666, 54.146, 50.585, 46.443, 52.224", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 51.013, MB/s
eval throughput samples per second per epoch, "0.714, 0.744, 0.701, 0.650, 0.721", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.706, samples/s
eval throughput stdev samples per second, 0.032, samples/s
eval io avg, 45.184, MB/s
eval io stdev, 2.018, MB/s
