metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "1.750, 1.878, 2.064, 1.955, 1.574", "s, s, s, s, s"
train metadata time, 9.221, s
train raw read time per epoch, "16.799, 16.265, 15.912, 16.347, 16.817", "s, s, s, s, s"
train total raw read time, 82.140, s
train raw read rate per epoch, "133.341, 137.717, 140.771, 137.032, 133.201", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 136.412, MB/s
train observed time per epoch, "27.381, 27.256, 27.714, 27.380, 27.285", "s, s, s, s, s"
train observed time, 137.014, s
train observed rate per epoch, "86.937, 87.361, 85.828, 86.940, 87.262", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 86.865, MB/s
train throughput samples per second per epoch, "1.278, 1.284, 1.263, 1.278, 1.283", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.277, samples/s
train throughput stdev samples per second, 0.008, samples/s
train io avg, 81.746, MB/s
train io stdev, 495.271, KB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "1.345, 0.388, 0.679, 0.515, 0.551", "s, s, s, s, s"
eval metadata time, 3.478, s
eval raw read time per epoch, "2.799, 3.425, 3.241, 3.430, 3.371", "s, s, s, s, s"
eval total raw read time, 16.266, s
eval raw read rate per epoch, "182.151, 148.772, 157.355, 148.772, 151.634", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 158.310, MB/s
eval observed time per epoch, "10.836, 11.034, 11.406, 10.865, 11.364", "s, s, s, s, s"
eval observed time, 55.506, s
eval observed rate per epoch, "53.646, 52.557, 50.620, 53.482, 50.834", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 52.228, MB/s
eval throughput samples per second per epoch, "0.738, 0.725, 0.701, 0.736, 0.704", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.721, samples/s
eval throughput stdev samples per second, 0.016, samples/s
eval io avg, 46.143, MB/s
eval io stdev, 1.001, MB/s
