metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "1.673, 2.780, 2.951, 2.071, 2.175", "s, s, s, s, s"
train metadata time, 11.651, s
train raw read time per epoch, "16.617, 15.342, 14.953, 15.787, 15.723", "s, s, s, s, s"
train total raw read time, 78.422, s
train raw read rate per epoch, "134.803, 146.002, 149.799, 141.889, 142.467", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 142.992, MB/s
train observed time per epoch, "29.332, 27.559, 27.433, 27.187, 28.351", "s, s, s, s, s"
train observed time, 139.862, s
train observed rate per epoch, "80.816, 86.341, 86.760, 87.595, 83.781", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 85.059, MB/s
train throughput samples per second per epoch, "1.193, 1.270, 1.276, 1.287, 1.235", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.252, samples/s
train throughput stdev samples per second, 0.034, samples/s
train io avg, 80.140, MB/s
train io stdev, 2.198, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.483, 0.431, 0.345, 0.701, 0.549", "s, s, s, s, s"
eval metadata time, 2.508, s
eval raw read time per epoch, "3.374, 3.296, 3.050, 3.078, 3.026", "s, s, s, s, s"
eval total raw read time, 15.825, s
eval raw read rate per epoch, "151.634, 154.495, 167.847, 165.938, 168.800", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 162.089, MB/s
eval observed time per epoch, "11.129, 10.707, 10.816, 11.006, 11.705", "s, s, s, s, s"
eval observed time, 55.363, s
eval observed rate per epoch, "52.049, 54.378, 53.756, 52.709, 49.171", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 52.413, MB/s
eval throughput samples per second per epoch, "0.719, 0.747, 0.740, 0.727, 0.683", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.723, samples/s
eval throughput stdev samples per second, 0.022, samples/s
eval io avg, 46.284, MB/s
eval io stdev, 1.417, MB/s
