metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "1.732, 1.965, 2.059, 1.919, 2.449", "s, s, s, s, s"
train metadata time, 10.124, s
train raw read time per epoch, "16.624, 16.122, 16.052, 16.330, 15.788", "s, s, s, s, s"
train total raw read time, 80.917, s
train raw read rate per epoch, "134.740, 138.937, 139.547, 137.167, 141.879", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 138.454, MB/s
train observed time per epoch, "28.080, 28.355, 28.275, 28.138, 28.386", "s, s, s, s, s"
train observed time, 141.234, s
train observed rate per epoch, "84.640, 83.769, 84.021, 84.455, 83.672", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 84.111, MB/s
train throughput samples per second per epoch, "1.246, 1.234, 1.238, 1.244, 1.233", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.239, samples/s
train throughput stdev samples per second, 0.005, samples/s
train io avg, 79.302, MB/s
train io stdev, 344.491, KB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.489, 0.553, 0.504, 0.988, 0.885", "s, s, s, s, s"
eval metadata time, 3.418, s
eval raw read time per epoch, "3.396, 3.376, 3.382, 3.123, 3.037", "s, s, s, s, s"
eval total raw read time, 16.314, s
eval raw read rate per epoch, "150.680, 151.634, 150.680, 163.078, 167.847", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 157.271, MB/s
eval observed time per epoch, "11.382, 11.669, 11.440, 11.758, 11.677", "s, s, s, s, s"
eval observed time, 57.926, s
eval observed rate per epoch, "50.744, 49.340, 50.450, 48.919, 49.303", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 49.751, MB/s
eval throughput samples per second per epoch, "0.703, 0.686, 0.699, 0.680, 0.685", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.691, samples/s
eval throughput stdev samples per second, 0.009, samples/s
eval io avg, 44.201, MB/s
eval io stdev, 575.671, KB/s
