metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "1.918, 2.216, 1.654, 1.971, 2.256", "s, s, s, s, s"
train metadata time, 10.015, s
train raw read time per epoch, "18.422, 17.812, 18.380, 18.262, 17.854", "s, s, s, s, s"
train total raw read time, 90.729, s
train raw read rate per epoch, "121.596, 125.758, 121.873, 122.658, 125.465", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 123.470, MB/s
train observed time per epoch, "27.980, 27.551, 27.355, 28.382, 28.295", "s, s, s, s, s"
train observed time, 139.562, s
train observed rate per epoch, "84.962, 86.367, 87.023, 83.684, 83.958", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 85.199, MB/s
train throughput samples per second per epoch, "1.251, 1.270, 1.279, 1.233, 1.237", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.254, samples/s
train throughput stdev samples per second, 0.018, samples/s
train io avg, 80.268, MB/s
train io stdev, 1.162, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.514, 0.474, 0.477, 0.467, 0.578", "s, s, s, s, s"
eval metadata time, 2.511, s
eval raw read time per epoch, "3.919, 3.743, 3.776, 3.908, 3.746", "s, s, s, s, s"
eval total raw read time, 19.093, s
eval raw read rate per epoch, "129.699, 136.375, 135.421, 130.653, 136.375", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 134.137, MB/s
eval observed time per epoch, "10.966, 11.166, 11.552, 10.469, 11.095", "s, s, s, s, s"
eval observed time, 55.249, s
eval observed rate per epoch, "52.926, 51.854, 49.900, 55.790, 52.226", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 52.539, MB/s
eval throughput samples per second per epoch, "0.730, 0.716, 0.693, 0.764, 0.721", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.725, samples/s
eval throughput stdev samples per second, 0.023, samples/s
eval io avg, 46.383, MB/s
eval io stdev, 1.486, MB/s
