metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "1.999, 1.916, 2.496, 2.175, 2.429", "s, s, s, s, s"
train metadata time, 11.016, s
train raw read time per epoch, "16.751, 16.204, 15.581, 16.353, 15.896", "s, s, s, s, s"
train total raw read time, 80.785, s
train raw read rate per epoch, "133.723, 138.235, 143.765, 136.981, 140.911", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 138.723, MB/s
train observed time per epoch, "27.745, 27.399, 27.385, 27.593, 27.131", "s, s, s, s, s"
train observed time, 137.254, s
train observed rate per epoch, "85.726, 86.873, 86.922, 86.225, 87.788", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 86.707, MB/s
train throughput samples per second per epoch, "1.262, 1.277, 1.278, 1.268, 1.290", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.275, samples/s
train throughput stdev samples per second, 0.010, samples/s
train io avg, 81.604, MB/s
train io stdev, 633.349, KB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "1.008, 0.346, 0.795, 0.401, 1.441", "s, s, s, s, s"
eval metadata time, 3.991, s
eval raw read time per epoch, "3.154, 3.097, 3.126, 3.161, 2.715", "s, s, s, s, s"
eval total raw read time, 15.253, s
eval raw read rate per epoch, "162.124, 164.985, 163.078, 161.171, 187.873", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 168.399, MB/s
eval observed time per epoch, "11.198, 11.056, 11.107, 11.129, 10.944", "s, s, s, s, s"
eval observed time, 55.434, s
eval observed rate per epoch, "51.688, 52.436, 52.165, 52.050, 53.044", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 52.276, MB/s
eval throughput samples per second per epoch, "0.714, 0.724, 0.720, 0.719, 0.731", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.722, samples/s
eval throughput stdev samples per second, 0.006, samples/s
eval io avg, 46.184, MB/s
eval io stdev, 361.776, KB/s
