metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "1.943, 1.825, 1.798, 2.111, 2.540", "s, s, s, s, s"
train metadata time, 10.218, s
train raw read time per epoch, "17.014, 16.663, 16.620, 16.169, 15.851", "s, s, s, s, s"
train total raw read time, 82.317, s
train raw read rate per epoch, "131.653, 134.429, 134.780, 138.540, 141.312", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 136.143, MB/s
train observed time per epoch, "28.173, 28.143, 27.880, 27.589, 27.372", "s, s, s, s, s"
train observed time, 139.158, s
train observed rate per epoch, "84.342, 84.439, 85.285, 86.238, 86.965", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 85.454, MB/s
train throughput samples per second per epoch, "1.242, 1.244, 1.255, 1.269, 1.279", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.258, samples/s
train throughput stdev samples per second, 0.014, samples/s
train io avg, 80.494, MB/s
train io stdev, 925.856, KB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.474, 0.356, 0.496, 0.579, 0.399", "s, s, s, s, s"
eval metadata time, 2.305, s
eval raw read time per epoch, "3.542, 3.511, 3.440, 3.375, 3.733", "s, s, s, s, s"
eval total raw read time, 17.600, s
eval raw read rate per epoch, "144.004, 144.958, 148.772, 151.634, 136.375", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 145.619, MB/s
eval observed time per epoch, "11.327, 11.141, 10.935, 11.052, 11.065", "s, s, s, s, s"
eval observed time, 55.519, s
eval observed rate per epoch, "51.021, 51.985, 53.098, 52.459, 52.389", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 52.190, MB/s
eval throughput samples per second per epoch, "0.706, 0.718, 0.732, 0.724, 0.723", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.721, samples/s
eval throughput stdev samples per second, 0.008, samples/s
eval io avg, 46.116, MB/s
eval io stdev, 547.805, KB/s
