metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "1.719, 2.643, 2.079, 2.632, 1.670", "s, s, s, s, s"
train metadata time, 10.744, s
train raw read time per epoch, "16.891, 16.096, 16.176, 15.846, 16.879", "s, s, s, s, s"
train total raw read time, 81.887, s
train raw read rate per epoch, "132.612, 139.168, 138.474, 141.364, 132.711", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 136.866, MB/s
train observed time per epoch, "27.845, 27.328, 27.050, 26.852, 26.532", "s, s, s, s, s"
train observed time, 135.607, s
train observed rate per epoch, "85.398, 87.115, 88.065, 88.759, 89.896", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 87.847, MB/s
train throughput samples per second per epoch, "1.257, 1.281, 1.294, 1.303, 1.319", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.291, samples/s
train throughput stdev samples per second, 0.021, samples/s
train io avg, 82.613, MB/s
train io stdev, 1.348, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.536, 0.605, 0.391, 0.792, 0.426", "s, s, s, s, s"
eval metadata time, 2.750, s
eval raw read time per epoch, "3.179, 3.357, 3.670, 3.151, 3.461", "s, s, s, s, s"
eval total raw read time, 16.817, s
eval raw read rate per epoch, "160.217, 151.634, 139.236, 162.124, 147.819", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 152.705, MB/s
eval observed time per epoch, "10.639, 10.813, 11.277, 10.938, 10.825", "s, s, s, s, s"
eval observed time, 54.492, s
eval observed rate per epoch, "54.774, 53.773, 51.275, 53.080, 53.709", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 53.322, MB/s
eval throughput samples per second per epoch, "0.752, 0.740, 0.709, 0.731, 0.739", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.734, samples/s
eval throughput stdev samples per second, 0.014, samples/s
eval io avg, 46.996, MB/s
eval io stdev, 923.205, KB/s
