metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "2.187, 1.978, 2.421, 2.220, 2.197", "s, s, s, s, s"
train metadata time, 11.004, s
train raw read time per epoch, "16.891, 16.697, 16.317, 16.314, 16.356", "s, s, s, s, s"
train total raw read time, 82.575, s
train raw read rate per epoch, "132.611, 134.156, 137.281, 137.306, 136.948", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 135.661, MB/s
train observed time per epoch, "28.525, 28.702, 28.162, 28.150, 28.164", "s, s, s, s, s"
train observed time, 141.702, s
train observed rate per epoch, "83.241, 82.696, 84.378, 84.418, 84.373", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 83.821, MB/s
train throughput samples per second per epoch, "1.227, 1.219, 1.243, 1.243, 1.243", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.235, samples/s
train throughput stdev samples per second, 0.010, samples/s
train io avg, 79.044, MB/s
train io stdev, 653.306, KB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.393, 0.479, 0.827, 0.426, 0.434", "s, s, s, s, s"
eval metadata time, 2.559, s
eval raw read time per epoch, "3.601, 3.454, 3.279, 3.634, 3.514", "s, s, s, s, s"
eval total raw read time, 17.482, s
eval raw read rate per epoch, "142.097, 147.819, 155.448, 140.189, 144.958", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 146.635, MB/s
eval observed time per epoch, "11.751, 11.077, 11.416, 10.875, 10.852", "s, s, s, s, s"
eval observed time, 55.971, s
eval observed rate per epoch, "48.953, 52.325, 50.571, 53.428, 53.553", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 51.766, MB/s
eval throughput samples per second per epoch, "0.681, 0.722, 0.701, 0.736, 0.737", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.715, samples/s
eval throughput stdev samples per second, 0.022, samples/s
eval io avg, 45.779, MB/s
eval io stdev, 1.384, MB/s
