metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "1.522, 1.448, 1.629, 1.765, 1.347", "s, s, s, s, s"
train metadata time, 7.711, s
train raw read time per epoch, "13.393, 13.403, 13.312, 12.987, 13.434", "s, s, s, s, s"
train total raw read time, 66.528, s
train raw read rate per epoch, "133.797, 133.697, 134.620, 137.987, 133.396", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 134.699, MB/s
train observed time per epoch, "29.634, 28.989, 29.486, 28.921, 29.632", "s, s, s, s, s"
train observed time, 146.663, s
train observed rate per epoch, "63.227, 64.699, 63.560, 64.859, 63.230", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 63.915, MB/s
train throughput samples per second per epoch, "0.945, 0.966, 0.950, 0.968, 0.945", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.955, samples/s
train throughput stdev samples per second, 0.010, samples/s
train io avg, 61.099, MB/s
train io stdev, 671.257, KB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.508, 0.576, 0.832, 0.495, 0.508", "s, s, s, s, s"
eval metadata time, 2.919, s
eval raw read time per epoch, "3.551, 3.499, 3.271, 3.403, 3.462", "s, s, s, s, s"
eval total raw read time, 17.186, s
eval raw read rate per epoch, "144.004, 145.912, 156.402, 149.727, 147.819", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 149.077, MB/s
eval observed time per epoch, "12.085, 11.771, 11.982, 12.299, 12.352", "s, s, s, s, s"
eval observed time, 60.488, s
eval observed rate per epoch, "47.438, 48.860, 47.896, 46.517, 46.293", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 47.400, MB/s
eval throughput samples per second per epoch, "0.662, 0.680, 0.668, 0.650, 0.648", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.661, samples/s
eval throughput stdev samples per second, 0.012, samples/s
eval io avg, 42.335, MB/s
eval io stdev, 764.658, KB/s
