metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "2.021, 1.308, 2.369, 1.657, 1.741", "s, s, s, s, s"
train metadata time, 9.096, s
train raw read time per epoch, "13.518, 13.239, 12.785, 13.707, 13.372", "s, s, s, s, s"
train total raw read time, 66.622, s
train raw read rate per epoch, "132.562, 135.357, 140.165, 130.734, 134.006", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 134.565, MB/s
train observed time per epoch, "22.961, 22.223, 22.242, 22.274, 22.732", "s, s, s, s, s"
train observed time, 112.432, s
train observed rate per epoch, "82.698, 85.616, 85.536, 85.404, 83.583", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 84.567, MB/s
train throughput samples per second per epoch, "1.219, 1.260, 1.259, 1.257, 1.232", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.245, samples/s
train throughput stdev samples per second, 0.017, samples/s
train io avg, 79.707, MB/s
train io stdev, 1.066, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.642, 0.440, 0.669, 0.496, 0.549", "s, s, s, s, s"
eval metadata time, 2.795, s
eval raw read time per epoch, "3.554, 3.268, 2.917, 3.439, 3.311", "s, s, s, s, s"
eval total raw read time, 16.490, s
eval raw read rate per epoch, "144.004, 156.402, 175.476, 148.772, 154.495", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 155.949, MB/s
eval observed time per epoch, "12.062, 11.288, 11.342, 10.928, 10.824", "s, s, s, s, s"
eval observed time, 56.443, s
eval observed rate per epoch, "47.538, 51.222, 50.946, 53.136, 53.714", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 51.312, MB/s
eval throughput samples per second per epoch, "0.663, 0.709, 0.705, 0.732, 0.739", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.710, samples/s
eval throughput stdev samples per second, 0.027, samples/s
eval io avg, 45.421, MB/s
eval io stdev, 1.704, MB/s
