metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "1.493, 1.660, 1.318, 1.518, 1.447", "s, s, s, s, s"
train metadata time, 7.436, s
train raw read time per epoch, "13.708, 13.274, 13.788, 13.394, 13.594", "s, s, s, s, s"
train total raw read time, 67.758, s
train raw read rate per epoch, "130.723, 135.000, 129.970, 133.787, 131.826", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 132.261, MB/s
train observed time per epoch, "22.541, 21.947, 22.738, 22.309, 22.162", "s, s, s, s, s"
train observed time, 111.696, s
train observed rate per epoch, "84.335, 86.760, 83.559, 85.265, 85.865", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 85.156, MB/s
train throughput samples per second per epoch, "1.242, 1.276, 1.231, 1.255, 1.263", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.254, samples/s
train throughput stdev samples per second, 0.016, samples/s
train io avg, 80.229, MB/s
train io stdev, 1021.232, KB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.601, 0.612, 0.551, 0.467, 0.717", "s, s, s, s, s"
eval metadata time, 2.947, s
eval raw read time per epoch, "3.518, 3.434, 3.440, 3.599, 3.499", "s, s, s, s, s"
eval total raw read time, 17.489, s
eval raw read rate per epoch, "144.958, 148.772, 148.772, 142.097, 145.912", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 146.417, MB/s
eval observed time per epoch, "11.308, 11.558, 11.549, 11.159, 10.733", "s, s, s, s, s"
eval observed time, 56.306, s
eval observed rate per epoch, "51.118, 49.875, 49.917, 51.891, 54.232", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 51.406, MB/s
eval throughput samples per second per epoch, "0.707, 0.692, 0.693, 0.717, 0.745", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.711, samples/s
eval throughput stdev samples per second, 0.020, samples/s
eval io avg, 45.499, MB/s
eval io stdev, 1.253, MB/s
