metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "1.453, 1.407, 1.358, 1.313, 1.429", "s, s, s, s, s"
train metadata time, 6.960, s
train raw read time per epoch, "14.129, 13.485, 13.482, 13.564, 13.338", "s, s, s, s, s"
train total raw read time, 67.999, s
train raw read rate per epoch, "126.831, 132.886, 132.912, 132.110, 134.351", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 131.818, MB/s
train observed time per epoch, "22.735, 21.759, 22.415, 22.044, 23.146", "s, s, s, s, s"
train observed time, 112.099, s
train observed rate per epoch, "83.571, 87.557, 84.834, 86.351, 81.999", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 84.862, MB/s
train throughput samples per second per epoch, "1.232, 1.287, 1.249, 1.270, 1.210", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.249, samples/s
train throughput stdev samples per second, 0.027, samples/s
train io avg, 79.967, MB/s
train io stdev, 1.746, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.391, 0.416, 0.351, 0.928, 0.479", "s, s, s, s, s"
eval metadata time, 2.564, s
eval raw read time per epoch, "3.750, 3.599, 3.733, 3.158, 3.603", "s, s, s, s, s"
eval total raw read time, 17.842, s
eval raw read rate per epoch, "136.375, 142.097, 136.375, 162.124, 141.144", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 144.041, MB/s
eval observed time per epoch, "11.495, 10.981, 10.967, 11.729, 11.221", "s, s, s, s, s"
eval observed time, 56.393, s
eval observed rate per epoch, "50.181, 52.844, 52.920, 49.056, 51.565", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 51.313, MB/s
eval throughput samples per second per epoch, "0.696, 0.729, 0.729, 0.682, 0.713", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.710, samples/s
eval throughput stdev samples per second, 0.018, samples/s
eval io avg, 45.427, MB/s
eval io stdev, 1.183, MB/s
