metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "2.029, 2.125, 1.342, 1.658, 2.255", "s, s, s, s, s"
train metadata time, 9.408, s
train raw read time per epoch, "14.194, 14.078, 14.603, 14.549, 13.670", "s, s, s, s, s"
train total raw read time, 71.095, s
train raw read rate per epoch, "126.250, 127.287, 122.715, 123.169, 131.086", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 126.102, MB/s
train observed time per epoch, "23.087, 21.978, 21.935, 22.341, 22.071", "s, s, s, s, s"
train observed time, 111.412, s
train observed rate per epoch, "82.220, 86.626, 86.808, 85.136, 86.241", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 85.406, MB/s
train throughput samples per second per epoch, "1.213, 1.274, 1.276, 1.253, 1.269", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.257, samples/s
train throughput stdev samples per second, 0.024, samples/s
train io avg, 80.450, MB/s
train io stdev, 1.506, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.603, 0.397, 0.333, 0.572, 0.709", "s, s, s, s, s"
eval metadata time, 2.615, s
eval raw read time per epoch, "3.599, 3.591, 3.733, 3.817, 3.436", "s, s, s, s, s"
eval total raw read time, 18.176, s
eval raw read rate per epoch, "142.097, 142.097, 136.375, 133.514, 148.772", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 141.025, MB/s
eval observed time per epoch, "11.226, 10.856, 11.863, 11.218, 11.248", "s, s, s, s, s"
eval observed time, 56.411, s
eval observed rate per epoch, "51.540, 53.535, 48.435, 51.581, 51.427", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 51.304, MB/s
eval throughput samples per second per epoch, "0.713, 0.737, 0.674, 0.713, 0.711", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.710, samples/s
eval throughput stdev samples per second, 0.020, samples/s
eval io avg, 45.418, MB/s
eval io stdev, 1.283, MB/s
