metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "1.569, 2.189, 1.553, 1.419, 1.559", "s, s, s, s, s"
train metadata time, 8.289, s
train raw read time per epoch, "12.946, 12.370, 13.044, 13.235, 13.011", "s, s, s, s, s"
train total raw read time, 64.606, s
train raw read rate per epoch, "138.423, 144.865, 137.381, 135.396, 137.732", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 138.760, MB/s
train observed time per epoch, "22.337, 21.567, 22.359, 21.407, 21.682", "s, s, s, s, s"
train observed time, 109.351, s
train observed rate per epoch, "85.151, 88.383, 85.062, 89.089, 87.887", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 87.114, MB/s
train throughput samples per second per epoch, "1.254, 1.298, 1.252, 1.308, 1.291", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.281, samples/s
train throughput stdev samples per second, 0.023, samples/s
train io avg, 81.965, MB/s
train io stdev, 1.490, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.347, 0.503, 0.438, 0.555, 0.914", "s, s, s, s, s"
eval metadata time, 2.756, s
eval raw read time per epoch, "3.451, 3.422, 3.214, 3.454, 3.071", "s, s, s, s, s"
eval total raw read time, 16.611, s
eval raw read rate per epoch, "147.819, 148.772, 159.263, 147.819, 165.938", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 154.453, MB/s
eval observed time per epoch, "10.968, 11.275, 11.164, 10.885, 11.139", "s, s, s, s, s"
eval observed time, 55.431, s
eval observed rate per epoch, "52.915, 51.287, 51.864, 53.369, 51.996", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 52.286, MB/s
eval throughput samples per second per epoch, "0.729, 0.710, 0.717, 0.735, 0.718", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.722, samples/s
eval throughput stdev samples per second, 0.009, samples/s
eval io avg, 46.190, MB/s
eval io stdev, 601.002, KB/s
