metric, value, unit
operation, dlio,
ranks, 1,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, NO,
collective data, NO,
train total size, 63.875, GB
train size per rank, 63.875, GB
train emulated compute time per epoch, "47.158, 47.158, 47.158, 47.158, 47.158", "s, s, s, s, s"
train emulated compute time, 235.790, s
train metadata time per epoch, "3.148, 3.137, 3.112, 3.051, 3.077", "s, s, s, s, s"
train metadata time, 15.526, s
train raw read time per epoch, "24.658, 26.214, 24.159, 23.758, 23.695", "s, s, s, s, s"
train total raw read time, 122.484, s
train raw read rate per epoch, "2.590, 2.437, 2.644, 2.688, 2.695", "GB/s, GB/s, GB/s, GB/s, GB/s"
train avg raw read rate, 2.610, GB/s
train observed time per epoch, "75.150, 76.700, 74.619, 74.156, 74.116", "s, s, s, s, s"
train observed time, 374.741, s
train observed rate per epoch, "2.281, 2.162, 2.325, 2.365, 2.369", "GB/s, GB/s, GB/s, GB/s, GB/s"
train avg observed rate, 2.301, GB/s
train throughput samples per second per epoch, "13.599, 13.325, 13.696, 13.782, 13.789", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 13.638, samples/s
train throughput stdev samples per second, 0.171, samples/s
train io avg, 872.848, MB/s
train io stdev, 10.956, MB/s
eval total size, 16.000, GB
eval size per rank, 16.000, GB
eval emulated compute time per epoch, "41.344, 41.344, 41.344, 41.344, 41.344", "s, s, s, s, s"
eval emulated compute time, 206.720, s
eval metadata time per epoch, "0.907, 0.934, 0.914, 0.926, 0.939", "s, s, s, s, s"
eval metadata time, 4.619, s
eval raw read time per epoch, "6.287, 6.622, 6.241, 6.271, 6.339", "s, s, s, s, s"
eval total raw read time, 31.761, s
eval raw read rate per epoch, "2.544, 2.415, 2.562, 2.551, 2.523", "GB/s, GB/s, GB/s, GB/s, GB/s"
eval avg raw read rate, 2.520, GB/s
eval observed time per epoch, "48.596, 48.958, 48.557, 48.597, 48.680", "s, s, s, s, s"
eval observed time, 243.388, s
eval observed rate per epoch, "2.206, 2.101, 2.218, 2.205, 2.181", "GB/s, GB/s, GB/s, GB/s, GB/s"
eval avg observed rate, 2.182, GB/s
eval throughput samples per second per epoch, "5.268, 5.229, 5.272, 5.268, 5.259", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 5.259, samples/s
eval throughput stdev samples per second, 0.016, samples/s
eval io avg, 336.585, MB/s
eval io stdev, 1.005, MB/s
