metric, value, unit
operation, dlio,
ranks, 16,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, NO,
collective data, NO,
train total size, 63.000, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "0.491, 0.497, 0.451, 0.408, 0.401", "s, s, s, s, s"
train metadata time, 2.248, s
train raw read time per epoch, "3.772, 3.732, 3.833, 3.925, 4.102", "s, s, s, s, s"
train total raw read time, 19.364, s
train raw read rate per epoch, "1.044, 1.055, 1.026, 1.003, 982.989", "GB/s, GB/s, GB/s, GB/s, MB/s"
train avg raw read rate, 1.018, GB/s
train observed time per epoch, "7.676, 7.564, 7.515, 7.479, 9.035", "s, s, s, s, s"
train observed time, 39.269, s
train observed rate per epoch, "845.469, 865.854, 874.917, 881.927, 657.925", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 825.218, MB/s
train throughput samples per second per epoch, "8.207, 8.329, 8.383, 8.424, 6.973", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 8.063, samples/s
train throughput stdev samples per second, 0.550, samples/s
train io avg, 516.043, MB/s
train io stdev, 35.207, MB/s
eval total size, 16.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "0.190, 0.143, 0.155, 0.152, 0.177", "s, s, s, s, s"
eval metadata time, 0.817, s
eval raw read time per epoch, "0.849, 0.934, 0.924, 0.916, 0.854", "s, s, s, s, s"
eval total raw read time, 4.477, s
eval raw read rate per epoch, "1.178, 1.069, 1.081, 1.091, 1.170", "GB/s, GB/s, GB/s, GB/s, GB/s"
eval avg raw read rate, 1.118, GB/s
eval observed time per epoch, "3.934, 3.872, 3.885, 3.916, 3.868", "s, s, s, s, s"
eval observed time, 19.475, s
eval observed rate per epoch, "758.727, 794.815, 786.813, 768.812, 797.595", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 781.353, MB/s
eval throughput samples per second per epoch, "4.067, 4.132, 4.118, 4.086, 4.137", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 4.108, samples/s
eval throughput stdev samples per second, 0.027, samples/s
eval io avg, 262.909, MB/s
eval io stdev, 1.722, MB/s
