metric, value, unit
operation, dlio,
ranks, 32,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 56.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "0.494, 0.383, 0.693, 0.285, 0.353", "s, s, s, s, s"
train metadata time, 2.207, s
train raw read time per epoch, "3.991, 3.654, 3.336, 3.473, 3.369", "s, s, s, s, s"
train total raw read time, 17.823, s
train raw read rate per epoch, "449.021, 490.358, 537.197, 515.982, 531.868", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 504.886, MB/s
train observed time per epoch, "6.179, 5.903, 5.696, 5.468, 5.347", "s, s, s, s, s"
train observed time, 28.592, s
train observed rate per epoch, "366.722, 388.647, 406.918, 429.147, 441.889", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 406.665, MB/s
train throughput samples per second per epoch, "4.532, 4.743, 4.916, 5.121, 5.236", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 4.910, samples/s
train throughput stdev samples per second, 0.254, samples/s
train io avg, 314.219, MB/s
train io stdev, 16.234, MB/s
eval total size, 16.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.263, 0.287, 0.212, 0.173, 0.273", "s, s, s, s, s"
eval metadata time, 1.209, s
eval raw read time per epoch, "0.696, 0.742, 0.757, 0.723, 0.670", "s, s, s, s, s"
eval total raw read time, 3.588, s
eval raw read rate per epoch, "735.282, 689.506, 675.201, 707.626, 762.939", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 714.817, MB/s
eval observed time per epoch, "2.525, 2.456, 2.491, 2.441, 2.490", "s, s, s, s, s"
eval observed time, 12.403, s
eval observed rate per epoch, "415.312, 439.833, 427.088, 445.673, 427.213", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 431.023, MB/s
eval throughput samples per second per epoch, "3.169, 3.257, 3.212, 3.278, 3.212", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 3.225, samples/s
eval throughput stdev samples per second, 0.038, samples/s
eval io avg, 206.431, MB/s
eval io stdev, 2.449, MB/s
