metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "19.665, 18.958, 20.831, 24.052, 20.726", "s, s, s, s, s"
train metadata time, 104.231, s
train raw read time per epoch, "17.112, 19.020, 18.358, 27.509, 21.060", "s, s, s, s, s"
train total raw read time, 103.058, s
train raw read rate per epoch, "235.626, 211.990, 219.630, 146.572, 191.456", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 201.055, MB/s
train observed time per epoch, "118.141, 154.491, 130.420, 140.928, 123.936", "s, s, s, s, s"
train observed time, 667.916, s
train observed rate per epoch, "34.989, 26.599, 31.620, 29.213, 33.313", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 31.146, MB/s
train throughput samples per second per epoch, "0.533, 0.408, 0.483, 0.447, 0.508", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.476, samples/s
train throughput stdev samples per second, 0.044, samples/s
train io avg, 30.457, MB/s
train io stdev, 2.842, MB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "6.798, 5.441, 6.860, 7.460, 7.086", "s, s, s, s, s"
eval metadata time, 33.645, s
eval raw read time per epoch, "6.504, 7.072, 6.748, 7.783, 7.744", "s, s, s, s, s"
eval total raw read time, 35.851, s
eval raw read rate per epoch, "157.355, 144.004, 151.634, 130.653, 131.606", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 143.559, MB/s
eval observed time per epoch, "66.147, 73.932, 63.344, 67.660, 53.300", "s, s, s, s, s"
eval observed time, 324.383, s
eval observed rate per epoch, "16.109, 14.352, 16.853, 15.735, 20.190", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 16.647, MB/s
eval throughput samples per second per epoch, "0.242, 0.216, 0.253, 0.236, 0.300", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.250, samples/s
eval throughput stdev samples per second, 0.028, samples/s
eval io avg, 15.968, MB/s
eval io stdev, 1.787, MB/s
