metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "15.042, 15.336, 18.299, 17.121, 16.658", "s, s, s, s, s"
train metadata time, 82.457, s
train raw read time per epoch, "20.826, 20.829, 21.940, 25.512, 20.998", "s, s, s, s, s"
train total raw read time, 110.106, s
train raw read rate per epoch, "193.602, 193.573, 183.771, 158.045, 192.017", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 184.201, MB/s
train observed time per epoch, "154.084, 184.971, 181.333, 190.098, 199.089", "s, s, s, s, s"
train observed time, 909.574, s
train observed rate per epoch, "26.670, 22.146, 22.598, 21.539, 20.552", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 22.701, MB/s
train throughput samples per second per epoch, "0.409, 0.341, 0.347, 0.331, 0.316", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.349, samples/s
train throughput stdev samples per second, 0.032, samples/s
train io avg, 22.332, MB/s
train io stdev, 2.028, MB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "4.274, 3.424, 3.491, 3.334, 3.130", "s, s, s, s, s"
eval metadata time, 17.653, s
eval raw read time per epoch, "7.609, 7.002, 7.130, 6.839, 7.429", "s, s, s, s, s"
eval total raw read time, 36.009, s
eval raw read rate per epoch, "134.468, 145.912, 143.051, 149.727, 137.329", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 142.402, MB/s
eval observed time per epoch, "98.774, 83.825, 86.341, 67.518, 62.847", "s, s, s, s, s"
eval observed time, 399.304, s
eval observed rate per epoch, "10.646, 12.604, 12.226, 15.770, 16.992", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 13.647, MB/s
eval throughput samples per second per epoch, "0.162, 0.191, 0.185, 0.237, 0.255", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.206, samples/s
eval throughput stdev samples per second, 0.034, samples/s
eval io avg, 13.180, MB/s
eval io stdev, 2.200, MB/s
