metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "15.421, 17.248, 18.426, 18.820, 16.647", "s, s, s, s, s"
train metadata time, 86.563, s
train raw read time per epoch, "19.173, 27.054, 32.294, 34.550, 32.347", "s, s, s, s, s"
train total raw read time, 145.418, s
train raw read rate per epoch, "210.291, 149.036, 124.854, 116.699, 124.648", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 145.105, MB/s
train observed time per epoch, "85.943, 89.985, 91.456, 89.599, 96.467", "s, s, s, s, s"
train observed time, 453.451, s
train observed rate per epoch, "48.557, 46.303, 45.533, 46.509, 43.095", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 45.999, MB/s
train throughput samples per second per epoch, "0.733, 0.700, 0.689, 0.703, 0.653", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.696, samples/s
train throughput stdev samples per second, 0.026, samples/s
train io avg, 44.521, MB/s
train io stdev, 1.652, MB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "3.476, 3.223, 3.277, 3.040, 3.513", "s, s, s, s, s"
eval metadata time, 16.530, s
eval raw read time per epoch, "8.435, 9.821, 8.763, 9.476, 10.211", "s, s, s, s, s"
eval total raw read time, 46.706, s
eval raw read rate per epoch, "121.116, 103.950, 116.348, 107.765, 100.136", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 110.174, MB/s
eval observed time per epoch, "43.712, 45.165, 54.632, 52.683, 56.283", "s, s, s, s, s"
eval observed time, 252.475, s
eval observed rate per epoch, "24.897, 24.048, 19.674, 20.439, 19.068", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 21.625, MB/s
eval throughput samples per second per epoch, "0.366, 0.354, 0.293, 0.304, 0.284", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.320, samples/s
eval throughput stdev samples per second, 0.033, samples/s
eval io avg, 20.494, MB/s
eval io stdev, 2.136, MB/s
