metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "12.237, 15.117, 15.702, 17.650, 18.683", "s, s, s, s, s"
train metadata time, 79.389, s
train raw read time per epoch, "19.802, 19.690, 22.229, 30.487, 27.825", "s, s, s, s, s"
train total raw read time, 120.033, s
train raw read rate per epoch, "203.619, 204.772, 181.382, 132.255, 144.904", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 173.387, MB/s
train observed time per epoch, "84.955, 88.170, 86.654, 87.878, 87.885", "s, s, s, s, s"
train observed time, 435.542, s
train observed rate per epoch, "49.142, 47.289, 48.145, 47.451, 47.447", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 47.895, MB/s
train throughput samples per second per epoch, "0.742, 0.715, 0.727, 0.717, 0.717", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.723, samples/s
train throughput stdev samples per second, 0.010, samples/s
train io avg, 46.296, MB/s
train io stdev, 660.031, KB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "3.430, 3.635, 3.317, 3.606, 3.663", "s, s, s, s, s"
eval metadata time, 17.651, s
eval raw read time per epoch, "7.616, 8.190, 8.285, 9.417, 9.173", "s, s, s, s, s"
eval total raw read time, 42.680, s
eval raw read rate per epoch, "133.514, 124.931, 123.023, 108.719, 111.579", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 120.691, MB/s
eval observed time per epoch, "29.126, 29.299, 30.129, 31.035, 32.088", "s, s, s, s, s"
eval observed time, 151.676, s
eval observed rate per epoch, "38.580, 38.330, 37.176, 35.991, 34.707", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 36.957, MB/s
eval throughput samples per second per epoch, "0.549, 0.546, 0.531, 0.516, 0.499", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.528, samples/s
eval throughput stdev samples per second, 0.019, samples/s
eval io avg, 33.800, MB/s
eval io stdev, 1.217, MB/s
