metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "19.815, 19.997, 21.792, 18.984, 20.900", "s, s, s, s, s"
train metadata time, 101.488, s
train raw read time per epoch, "37.627, 43.398, 42.567, 28.978, 25.873", "s, s, s, s, s"
train total raw read time, 178.443, s
train raw read rate per epoch, "107.157, 92.907, 94.721, 139.140, 155.837", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 117.952, MB/s
train observed time per epoch, "105.237, 169.989, 167.463, 184.321, 168.768", "s, s, s, s, s"
train observed time, 795.778, s
train observed rate per epoch, "39.401, 24.132, 24.502, 22.225, 24.309", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 26.914, MB/s
train throughput samples per second per epoch, "0.599, 0.371, 0.376, 0.342, 0.373", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.412, samples/s
train throughput stdev samples per second, 0.094, samples/s
train io avg, 26.375, MB/s
train io stdev, 6.021, MB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "5.286, 5.389, 5.973, 3.796, 4.911", "s, s, s, s, s"
eval metadata time, 25.355, s
eval raw read time per epoch, "11.959, 11.236, 11.798, 9.896, 9.471", "s, s, s, s, s"
eval total raw read time, 54.361, s
eval raw read rate per epoch, "84.877, 90.599, 86.784, 102.996, 107.765", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 95.028, MB/s
eval observed time per epoch, "77.109, 75.985, 99.012, 102.750, 76.967", "s, s, s, s, s"
eval observed time, 431.824, s
eval observed rate per epoch, "13.740, 13.950, 10.619, 10.223, 13.766", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 12.460, MB/s
eval throughput samples per second per epoch, "0.207, 0.211, 0.162, 0.156, 0.208", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.189, samples/s
eval throughput stdev samples per second, 0.025, samples/s
eval io avg, 12.073, MB/s
eval io stdev, 1.573, MB/s
