metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "20.044, 20.508, 19.683, 20.616, 19.039", "s, s, s, s, s"
train metadata time, 99.890, s
train raw read time per epoch, "24.828, 23.178, 22.946, 25.403, 22.903", "s, s, s, s, s"
train total raw read time, 119.258, s
train raw read rate per epoch, "162.395, 173.958, 175.718, 158.719, 176.048", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 169.367, MB/s
train observed time per epoch, "103.991, 106.848, 91.197, 87.603, 87.714", "s, s, s, s, s"
train observed time, 477.353, s
train observed rate per epoch, "39.888, 38.791, 45.667, 47.604, 47.543", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 43.898, MB/s
train throughput samples per second per epoch, "0.606, 0.590, 0.691, 0.719, 0.718", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.665, samples/s
train throughput stdev samples per second, 0.056, samples/s
train io avg, 42.542, MB/s
train io stdev, 3.576, MB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "6.036, 5.776, 5.870, 4.984, 7.599", "s, s, s, s, s"
eval metadata time, 30.265, s
eval raw read time per epoch, "7.148, 6.715, 6.083, 8.563, 6.131", "s, s, s, s, s"
eval total raw read time, 34.640, s
eval raw read rate per epoch, "143.051, 151.634, 167.847, 119.209, 166.893", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 150.139, MB/s
eval observed time per epoch, "41.025, 61.223, 28.831, 30.600, 30.176", "s, s, s, s, s"
eval observed time, 191.855, s
eval observed rate per epoch, "26.638, 17.462, 39.014, 36.551, 37.111", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 31.355, MB/s
eval throughput samples per second per epoch, "0.390, 0.261, 0.555, 0.523, 0.530", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.452, samples/s
eval throughput stdev samples per second, 0.111, samples/s
eval io avg, 28.920, MB/s
eval io stdev, 7.123, MB/s
