metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "17.951, 16.597, 17.534, 16.308, 18.431", "s, s, s, s, s"
train metadata time, 86.822, s
train raw read time per epoch, "32.351, 32.570, 37.457, 35.014, 30.924", "s, s, s, s, s"
train total raw read time, 168.318, s
train raw read rate per epoch, "124.631, 123.794, 107.642, 115.152, 130.382", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 120.320, MB/s
train observed time per epoch, "125.239, 133.649, 136.570, 163.054, 220.741", "s, s, s, s, s"
train observed time, 779.251, s
train observed rate per epoch, "32.959, 30.839, 30.165, 25.177, 18.509", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 27.529, MB/s
train throughput samples per second per epoch, "0.503, 0.471, 0.461, 0.386, 0.285", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.422, samples/s
train throughput stdev samples per second, 0.078, samples/s
train io avg, 26.976, MB/s
train io stdev, 4.996, MB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "3.769, 3.493, 3.294, 2.967, 4.137", "s, s, s, s, s"
eval metadata time, 17.660, s
eval raw read time per epoch, "9.082, 9.094, 9.878, 9.467, 8.176", "s, s, s, s, s"
eval total raw read time, 45.697, s
eval raw read rate per epoch, "112.533, 112.533, 102.996, 107.765, 124.931", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 112.485, MB/s
eval observed time per epoch, "49.569, 40.297, 57.242, 68.080, 89.388", "s, s, s, s, s"
eval observed time, 304.576, s
eval observed rate per epoch, "21.794, 27.152, 18.734, 15.634, 11.796", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 19.022, MB/s
eval throughput samples per second per epoch, "0.323, 0.397, 0.280, 0.235, 0.179", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.283, samples/s
eval throughput stdev samples per second, 0.074, samples/s
eval io avg, 18.091, MB/s
eval io stdev, 4.765, MB/s
