metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "17.432, 18.331, 19.124, 20.845, 19.203", "s, s, s, s, s"
train metadata time, 94.935, s
train raw read time per epoch, "15.230, 21.184, 21.000, 22.874, 27.579", "s, s, s, s, s"
train total raw read time, 107.866, s
train raw read rate per epoch, "264.740, 190.328, 192.000, 176.272, 146.200", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 193.908, MB/s
train observed time per epoch, "84.222, 85.352, 81.212, 80.012, 83.924", "s, s, s, s, s"
train observed time, 414.722, s
train observed rate per epoch, "49.585, 48.904, 51.490, 52.292, 49.767", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 50.408, MB/s
train throughput samples per second per epoch, "0.748, 0.738, 0.776, 0.787, 0.751", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.760, samples/s
train throughput stdev samples per second, 0.018, samples/s
train io avg, 48.639, MB/s
train io stdev, 1.182, MB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "4.577, 3.712, 4.564, 5.704, 5.190", "s, s, s, s, s"
eval metadata time, 23.747, s
eval raw read time per epoch, "3.212, 7.777, 6.405, 7.033, 6.742", "s, s, s, s, s"
eval total raw read time, 31.169, s
eval raw read rate per epoch, "318.526, 131.606, 159.263, 144.958, 151.634", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 181.563, MB/s
eval observed time per epoch, "29.548, 29.318, 28.885, 29.268, 30.206", "s, s, s, s, s"
eval observed time, 147.225, s
eval observed rate per epoch, "37.976, 38.304, 38.933, 38.374, 37.072", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 38.132, MB/s
eval throughput samples per second per epoch, "0.541, 0.546, 0.554, 0.547, 0.530", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.544, samples/s
eval throughput stdev samples per second, 0.008, samples/s
eval io avg, 34.784, MB/s
eval io stdev, 522.596, KB/s
