metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "24.748, 21.745, 23.278, 25.761, 23.724", "s, s, s, s, s"
train metadata time, 119.256, s
train raw read time per epoch, "22.967, 36.613, 23.476, 23.920, 29.356", "s, s, s, s, s"
train total raw read time, 136.332, s
train raw read rate per epoch, "175.554, 110.124, 171.747, 168.562, 137.351", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 152.667, MB/s
train observed time per epoch, "114.079, 142.294, 138.105, 141.222, 155.144", "s, s, s, s, s"
train observed time, 690.844, s
train observed rate per epoch, "36.268, 28.926, 29.822, 29.150, 26.484", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 30.130, MB/s
train throughput samples per second per epoch, "0.552, 0.443, 0.456, 0.446, 0.406", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.461, samples/s
train throughput stdev samples per second, 0.049, samples/s
train io avg, 29.482, MB/s
train io stdev, 3.124, MB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "7.081, 6.248, 9.971, 8.123, 6.794", "s, s, s, s, s"
eval metadata time, 38.217, s
eval raw read time per epoch, "8.709, 9.400, 8.718, 10.323, 10.881", "s, s, s, s, s"
eval total raw read time, 48.031, s
eval raw read rate per epoch, "117.302, 108.719, 117.302, 99.182, 93.460", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 107.455, MB/s
eval observed time per epoch, "86.506, 73.315, 85.809, 98.648, 87.538", "s, s, s, s, s"
eval observed time, 431.815, s
eval observed rate per epoch, "12.201, 14.477, 12.304, 10.659, 12.053", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 12.339, MB/s
eval throughput samples per second per epoch, "0.185, 0.218, 0.186, 0.162, 0.183", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.187, samples/s
eval throughput stdev samples per second, 0.018, samples/s
eval io avg, 11.963, MB/s
eval io stdev, 1.149, MB/s
