metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "17.239, 17.320, 17.863, 18.038, 15.167", "s, s, s, s, s"
train metadata time, 85.628, s
train raw read time per epoch, "22.355, 22.965, 26.792, 23.596, 16.346", "s, s, s, s, s"
train total raw read time, 112.053, s
train raw read rate per epoch, "160.325, 156.061, 133.771, 151.890, 219.263", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 164.262, MB/s
train observed time per epoch, "140.519, 147.493, 126.394, 143.581, 131.546", "s, s, s, s, s"
train observed time, 689.533, s
train observed rate per epoch, "25.982, 24.732, 28.947, 25.419, 27.791", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 26.574, MB/s
train throughput samples per second per epoch, "0.399, 0.380, 0.443, 0.390, 0.426", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.407, samples/s
train throughput stdev samples per second, 0.023, samples/s
train io avg, 26.073, MB/s
train io stdev, 1.502, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "4.946, 4.754, 5.463, 4.782, 4.858", "s, s, s, s, s"
eval metadata time, 24.804, s
eval raw read time per epoch, "6.860, 4.691, 7.744, 5.148, 5.729", "s, s, s, s, s"
eval total raw read time, 30.172, s
eval raw read rate per epoch, "129.699, 190.734, 115.395, 173.568, 155.448", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 153.555, MB/s
eval observed time per epoch, "48.625, 49.597, 48.512, 50.422, 52.397", "s, s, s, s, s"
eval observed time, 249.553, s
eval observed rate per epoch, "19.325, 18.928, 19.372, 18.604, 17.871", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 18.820, MB/s
eval throughput samples per second per epoch, "0.288, 0.282, 0.289, 0.278, 0.267", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.281, samples/s
eval throughput stdev samples per second, 0.008, samples/s
eval io avg, 17.966, MB/s
eval io stdev, 514.784, KB/s
