metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "10.195, 12.441, 12.370, 11.818, 12.450", "s, s, s, s, s"
train metadata time, 59.273, s
train raw read time per epoch, "15.442, 16.276, 18.294, 18.827, 15.998", "s, s, s, s, s"
train total raw read time, 84.836, s
train raw read rate per epoch, "232.102, 220.201, 195.907, 190.366, 224.034", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 212.522, MB/s
train observed time per epoch, "49.926, 60.322, 63.173, 62.499, 61.420", "s, s, s, s, s"
train observed time, 297.339, s
train observed rate per epoch, "75.704, 62.073, 59.152, 59.817, 60.915", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 63.532, MB/s
train throughput samples per second per epoch, "1.122, 0.928, 0.886, 0.896, 0.912", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.949, samples/s
train throughput stdev samples per second, 0.088, samples/s
train io avg, 60.726, MB/s
train io stdev, 5.604, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "3.027, 3.604, 2.978, 3.093, 3.117", "s, s, s, s, s"
eval metadata time, 15.819, s
eval raw read time per epoch, "3.767, 5.539, 4.612, 4.925, 4.232", "s, s, s, s, s"
eval total raw read time, 23.075, s
eval raw read rate per epoch, "237.465, 161.171, 193.596, 181.197, 211.715", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 197.506, MB/s
eval observed time per epoch, "20.446, 21.573, 21.287, 21.447, 22.029", "s, s, s, s, s"
eval observed time, 106.782, s
eval observed rate per epoch, "49.271, 46.396, 47.093, 46.700, 45.324", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 46.957, MB/s
eval throughput samples per second per epoch, "0.685, 0.649, 0.658, 0.653, 0.636", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.656, samples/s
eval throughput stdev samples per second, 0.016, samples/s
eval io avg, 41.979, MB/s
eval io stdev, 1.034, MB/s
