metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "9.738, 12.212, 10.772, 11.810, 13.082", "s, s, s, s, s"
train metadata time, 57.613, s
train raw read time per epoch, "16.443, 18.105, 16.239, 18.769, 20.253", "s, s, s, s, s"
train total raw read time, 89.808, s
train raw read rate per epoch, "217.966, 197.959, 220.709, 190.957, 176.957", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 200.909, MB/s
train observed time per epoch, "51.527, 62.277, 62.350, 60.417, 62.450", "s, s, s, s, s"
train observed time, 299.022, s
train observed rate per epoch, "73.227, 60.040, 59.967, 61.971, 59.866", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 63.015, MB/s
train throughput samples per second per epoch, "1.087, 0.899, 0.898, 0.927, 0.897", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.942, samples/s
train throughput stdev samples per second, 0.073, samples/s
train io avg, 60.259, MB/s
train io stdev, 4.702, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "1.793, 2.330, 2.232, 2.968, 3.131", "s, s, s, s, s"
eval metadata time, 12.454, s
eval raw read time per epoch, "4.680, 4.506, 5.861, 4.453, 5.872", "s, s, s, s, s"
eval total raw read time, 25.372, s
eval raw read rate per epoch, "190.734, 198.364, 152.588, 200.271, 152.588", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 179.396, MB/s
eval observed time per epoch, "19.839, 20.120, 22.141, 21.632, 22.146", "s, s, s, s, s"
eval observed time, 105.878, s
eval observed rate per epoch, "50.973, 50.170, 45.070, 46.255, 45.058", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 47.505, MB/s
eval throughput samples per second per epoch, "0.706, 0.696, 0.632, 0.647, 0.632", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.663, samples/s
eval throughput stdev samples per second, 0.032, samples/s
eval io avg, 42.408, MB/s
eval io stdev, 2.031, MB/s
