metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "10.932, 11.598, 12.413, 11.197, 12.334", "s, s, s, s, s"
train metadata time, 58.475, s
train raw read time per epoch, "15.393, 16.661, 17.777, 19.783, 18.681", "s, s, s, s, s"
train total raw read time, 88.295, s
train raw read rate per epoch, "232.832, 215.108, 201.608, 181.167, 191.854", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 204.514, MB/s
train observed time per epoch, "49.500, 60.423, 63.404, 62.219, 62.064", "s, s, s, s, s"
train observed time, 297.610, s
train observed rate per epoch, "76.392, 61.964, 58.928, 60.099, 60.255", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 63.527, MB/s
train throughput samples per second per epoch, "1.131, 0.927, 0.883, 0.900, 0.902", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.949, samples/s
train throughput stdev samples per second, 0.092, samples/s
train io avg, 60.719, MB/s
train io stdev, 5.909, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "2.591, 4.089, 3.043, 2.985, 2.947", "s, s, s, s, s"
eval metadata time, 15.655, s
eval raw read time per epoch, "4.628, 5.024, 3.846, 4.409, 4.406", "s, s, s, s, s"
eval total raw read time, 22.313, s
eval raw read rate per epoch, "192.642, 178.337, 232.696, 203.132, 203.132", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 202.296, MB/s
eval observed time per epoch, "21.385, 21.302, 21.497, 22.051, 21.425", "s, s, s, s, s"
eval observed time, 107.660, s
eval observed rate per epoch, "46.852, 47.056, 46.580, 45.274, 46.754", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 46.503, MB/s
eval throughput samples per second per epoch, "0.655, 0.657, 0.651, 0.635, 0.653", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.650, samples/s
eval throughput stdev samples per second, 0.008, samples/s
eval io avg, 41.618, MB/s
eval io stdev, 520.334, KB/s
