metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "11.900, 12.411, 11.434, 11.920, 11.817", "s, s, s, s, s"
train metadata time, 59.483, s
train raw read time per epoch, "13.855, 16.843, 15.582, 18.403, 17.092", "s, s, s, s, s"
train total raw read time, 81.776, s
train raw read rate per epoch, "258.678, 212.790, 230.004, 194.751, 209.684", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 221.181, MB/s
train observed time per epoch, "50.219, 59.931, 61.526, 62.973, 60.537", "s, s, s, s, s"
train observed time, 295.185, s
train observed rate per epoch, "75.239, 62.496, 60.806, 59.349, 61.843", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 63.946, MB/s
train throughput samples per second per epoch, "1.115, 0.934, 0.910, 0.889, 0.925", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.955, samples/s
train throughput stdev samples per second, 0.082, samples/s
train io avg, 61.107, MB/s
train io stdev, 5.222, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "3.832, 3.731, 2.462, 3.374, 4.403", "s, s, s, s, s"
eval metadata time, 17.802, s
eval raw read time per epoch, "3.354, 4.455, 5.338, 5.276, 3.790", "s, s, s, s, s"
eval total raw read time, 22.213, s
eval raw read rate per epoch, "267.028, 200.271, 167.847, 169.754, 235.557", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 208.471, MB/s
eval observed time per epoch, "20.615, 22.917, 22.570, 22.119, 21.789", "s, s, s, s, s"
eval observed time, 110.010, s
eval observed rate per epoch, "48.817, 43.376, 44.119, 45.119, 45.881", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 45.463, MB/s
eval throughput samples per second per epoch, "0.679, 0.611, 0.620, 0.633, 0.643", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.637, samples/s
eval throughput stdev samples per second, 0.024, samples/s
eval io avg, 40.777, MB/s
eval io stdev, 1.509, MB/s
