metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "17.115, 17.171, 16.471, 16.996, 16.585", "s, s, s, s, s"
train metadata time, 84.337, s
train raw read time per epoch, "20.795, 26.124, 25.943, 20.966, 17.768", "s, s, s, s, s"
train total raw read time, 111.596, s
train raw read rate per epoch, "172.345, 137.192, 138.148, 170.941, 201.716", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 164.068, MB/s
train observed time per epoch, "90.356, 97.662, 118.353, 101.441, 110.215", "s, s, s, s, s"
train observed time, 518.027, s
train observed rate per epoch, "40.833, 37.694, 30.958, 36.254, 33.299", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 35.808, MB/s
train throughput samples per second per epoch, "0.620, 0.573, 0.473, 0.552, 0.508", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.545, samples/s
train throughput stdev samples per second, 0.051, samples/s
train io avg, 34.898, MB/s
train io stdev, 3.259, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "5.443, 4.094, 3.997, 4.947, 4.578", "s, s, s, s, s"
eval metadata time, 23.059, s
eval raw read time per epoch, "7.391, 6.528, 6.419, 5.101, 6.206", "s, s, s, s, s"
eval total raw read time, 31.645, s
eval raw read rate per epoch, "121.116, 136.375, 139.236, 175.476, 144.004", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 143.618, MB/s
eval observed time per epoch, "50.917, 49.312, 50.705, 41.052, 38.228", "s, s, s, s, s"
eval observed time, 230.213, s
eval observed rate per epoch, "18.414, 19.043, 18.495, 23.098, 24.911", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 20.792, MB/s
eval throughput samples per second per epoch, "0.275, 0.284, 0.276, 0.341, 0.366", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.308, samples/s
eval throughput stdev samples per second, 0.038, samples/s
eval io avg, 19.740, MB/s
eval io stdev, 2.423, MB/s
