metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "11.669, 11.672, 11.394, 12.087, 11.703", "s, s, s, s, s"
train metadata time, 58.525, s
train raw read time per epoch, "13.840, 17.389, 20.413, 17.233, 20.713", "s, s, s, s, s"
train total raw read time, 89.587, s
train raw read rate per epoch, "258.960, 206.104, 175.577, 207.976, 173.032", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 204.330, MB/s
train observed time per epoch, "49.539, 60.956, 63.211, 62.477, 60.710", "s, s, s, s, s"
train observed time, 296.892, s
train observed rate per epoch, "76.328, 61.399, 59.115, 59.840, 61.659", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 63.668, MB/s
train throughput samples per second per epoch, "1.130, 0.919, 0.886, 0.896, 0.922", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.951, samples/s
train throughput stdev samples per second, 0.091, samples/s
train io avg, 60.848, MB/s
train io stdev, 5.814, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "2.651, 3.078, 2.566, 2.466, 2.928", "s, s, s, s, s"
eval metadata time, 13.689, s
eval raw read time per epoch, "5.325, 5.049, 4.986, 5.078, 4.393", "s, s, s, s, s"
eval total raw read time, 24.831, s
eval raw read rate per epoch, "167.847, 177.383, 179.290, 176.430, 203.132", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 181.167, MB/s
eval observed time per epoch, "21.740, 21.205, 21.500, 22.020, 21.008", "s, s, s, s, s"
eval observed time, 107.472, s
eval observed rate per epoch, "45.998, 47.297, 46.572, 45.347, 47.794", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 46.602, MB/s
eval throughput samples per second per epoch, "0.644, 0.660, 0.651, 0.636, 0.666", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.652, samples/s
eval throughput stdev samples per second, 0.011, samples/s
eval io avg, 41.696, MB/s
eval io stdev, 719.044, KB/s
