metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "10.978, 11.465, 12.324, 13.029, 11.906", "s, s, s, s, s"
train metadata time, 59.702, s
train raw read time per epoch, "14.676, 20.123, 16.577, 16.780, 17.658", "s, s, s, s, s"
train total raw read time, 85.814, s
train raw read rate per epoch, "244.214, 178.103, 216.201, 213.591, 202.965", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 211.015, MB/s
train observed time per epoch, "49.071, 60.270, 62.288, 60.469, 63.763", "s, s, s, s, s"
train observed time, 295.860, s
train observed rate per epoch, "77.097, 62.129, 60.029, 61.916, 58.581", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 63.950, MB/s
train throughput samples per second per epoch, "1.141, 0.929, 0.899, 0.926, 0.878", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.955, samples/s
train throughput stdev samples per second, 0.095, samples/s
train io avg, 61.104, MB/s
train io stdev, 6.084, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "3.210, 3.725, 3.751, 3.463, 3.511", "s, s, s, s, s"
eval metadata time, 17.660, s
eval raw read time per epoch, "4.881, 5.089, 4.387, 5.969, 4.853", "s, s, s, s, s"
eval total raw read time, 25.178, s
eval raw read rate per epoch, "183.105, 175.476, 204.086, 149.727, 184.059", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 179.728, MB/s
eval observed time per epoch, "21.926, 21.553, 22.479, 21.524, 21.509", "s, s, s, s, s"
eval observed time, 108.989, s
eval observed rate per epoch, "45.563, 46.444, 44.317, 46.515, 46.551", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 45.878, MB/s
eval throughput samples per second per epoch, "0.639, 0.650, 0.623, 0.650, 0.651", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.642, samples/s
eval throughput stdev samples per second, 0.011, samples/s
eval io avg, 41.116, MB/s
eval io stdev, 710.287, KB/s
