metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "25.160, 21.852, 21.727, 23.745, 25.114", "s, s, s, s, s"
train metadata time, 117.598, s
train raw read time per epoch, "55.050, 45.070, 48.990, 51.916, 51.452", "s, s, s, s, s"
train total raw read time, 252.478, s
train raw read rate per epoch, "65.104, 79.521, 73.157, 69.033, 69.656", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 71.294, MB/s
train observed time per epoch, "183.384, 203.955, 201.472, 214.778, 208.651", "s, s, s, s, s"
train observed time, 1012.239, s
train observed rate per epoch, "19.822, 17.798, 18.020, 16.890, 17.392", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 17.984, MB/s
train throughput samples per second per epoch, "0.305, 0.275, 0.278, 0.261, 0.268", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.277, samples/s
train throughput stdev samples per second, 0.015, samples/s
train io avg, 17.753, MB/s
train io stdev, 993.713, KB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "3.977, 4.641, 5.425, 4.324, 5.402", "s, s, s, s, s"
eval metadata time, 23.770, s
eval raw read time per epoch, "17.681, 17.170, 17.963, 16.123, 19.995", "s, s, s, s, s"
eval total raw read time, 88.932, s
eval raw read rate per epoch, "50.544, 51.498, 49.591, 55.312, 43.868", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 50.624, MB/s
eval observed time per epoch, "120.621, 99.893, 91.077, 120.302, 115.718", "s, s, s, s, s"
eval observed time, 547.610, s
eval observed rate per epoch, "7.569, 9.177, 10.088, 7.590, 7.896", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 8.464, MB/s
eval throughput samples per second per epoch, "0.116, 0.140, 0.154, 0.116, 0.121", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.129, samples/s
eval throughput stdev samples per second, 0.015, samples/s
eval io avg, 8.285, MB/s
eval io stdev, 983.099, KB/s
