metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "10.731, 10.353, 10.931, 10.943, 10.221", "s, s, s, s, s"
train metadata time, 53.180, s
train raw read time per epoch, "11.026, 11.366, 11.169, 10.017, 12.264", "s, s, s, s, s"
train total raw read time, 55.841, s
train raw read rate per epoch, "243.797, 236.497, 240.655, 268.352, 219.185", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 241.697, MB/s
train observed time per epoch, "92.185, 92.802, 101.051, 93.758, 120.097", "s, s, s, s, s"
train observed time, 499.892, s
train observed rate per epoch, "29.784, 29.582, 27.120, 29.274, 22.749", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 27.702, MB/s
train throughput samples per second per epoch, "0.456, 0.453, 0.416, 0.448, 0.350", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.424, samples/s
train throughput stdev samples per second, 0.040, samples/s
train io avg, 27.154, MB/s
train io stdev, 2.556, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "4.029, 3.655, 3.843, 4.382, 3.405", "s, s, s, s, s"
eval metadata time, 19.314, s
eval raw read time per epoch, "4.367, 4.139, 3.524, 3.036, 3.731", "s, s, s, s, s"
eval total raw read time, 18.797, s
eval raw read rate per epoch, "175.476, 185.013, 217.438, 252.724, 205.039", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 207.632, MB/s
eval observed time per epoch, "49.319, 56.648, 63.998, 42.220, 69.371", "s, s, s, s, s"
eval observed time, 281.555, s
eval observed rate per epoch, "16.209, 14.037, 12.375, 19.065, 11.389", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 14.615, MB/s
eval throughput samples per second per epoch, "0.243, 0.212, 0.188, 0.284, 0.173", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.220, samples/s
eval throughput stdev samples per second, 0.040, samples/s
eval io avg, 14.078, MB/s
eval io stdev, 2.560, MB/s
