metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "7.287, 6.805, 6.966, 7.849, 7.661", "s, s, s, s, s"
train metadata time, 36.568, s
train raw read time per epoch, "12.179, 13.609, 12.956, 12.669, 12.909", "s, s, s, s, s"
train total raw read time, 64.323, s
train raw read rate per epoch, "220.700, 197.509, 207.468, 212.177, 208.224", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 209.216, MB/s
train observed time per epoch, "41.334, 48.836, 47.767, 46.857, 48.883", "s, s, s, s, s"
train observed time, 233.676, s
train observed rate per epoch, "68.229, 57.315, 58.652, 59.841, 57.258", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 60.260, MB/s
train throughput samples per second per epoch, "1.016, 0.860, 0.879, 0.896, 0.859", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.902, samples/s
train throughput stdev samples per second, 0.059, samples/s
train io avg, 57.739, MB/s
train io stdev, 3.749, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "1.931, 2.435, 2.480, 2.209, 1.941", "s, s, s, s, s"
eval metadata time, 10.997, s
eval raw read time per epoch, "4.584, 3.452, 4.831, 3.670, 4.527", "s, s, s, s, s"
eval total raw read time, 21.063, s
eval raw read rate per epoch, "166.893, 222.206, 158.310, 208.854, 168.800", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 185.586, MB/s
eval observed time per epoch, "18.911, 17.957, 18.799, 18.051, 18.695", "s, s, s, s, s"
eval observed time, 92.412, s
eval observed rate per epoch, "45.248, 47.943, 45.549, 47.663, 45.832", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 46.447, MB/s
eval throughput samples per second per epoch, "0.635, 0.668, 0.638, 0.665, 0.642", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.650, samples/s
eval throughput stdev samples per second, 0.014, samples/s
eval io avg, 41.572, MB/s
eval io stdev, 922.997, KB/s
