metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "12.646, 12.517, 12.453, 11.577, 11.279", "s, s, s, s, s"
train metadata time, 60.472, s
train raw read time per epoch, "16.432, 17.337, 15.092, 11.688, 10.324", "s, s, s, s, s"
train total raw read time, 70.873, s
train raw read rate per epoch, "163.586, 155.041, 178.108, 229.974, 260.375", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 197.417, MB/s
train observed time per epoch, "136.543, 99.145, 653.788, 125.504, 121.061", "s, s, s, s, s"
train observed time, 1136.042, s
train observed rate per epoch, "19.969, 27.652, 4.123, 21.753, 22.564", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 19.212, MB/s
train throughput samples per second per epoch, "0.308, 0.424, 0.064, 0.335, 0.347", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.295, samples/s
train throughput stdev samples per second, 0.122, samples/s
train io avg, 18.905, MB/s
train io stdev, 7.797, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "4.250, 3.285, 4.064, 3.044, 4.459", "s, s, s, s, s"
eval metadata time, 19.102, s
eval raw read time per epoch, "4.355, 5.001, 4.574, 6.003, 4.037", "s, s, s, s, s"
eval total raw read time, 23.970, s
eval raw read rate per epoch, "175.476, 153.541, 167.847, 127.792, 189.780", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 163.200, MB/s
eval observed time per epoch, "46.133, 39.967, 31.059, 54.462, 41.197", "s, s, s, s, s"
eval observed time, 212.818, s
eval observed rate per epoch, "17.377, 20.195, 26.372, 14.621, 19.562", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 19.625, MB/s
eval throughput samples per second per epoch, "0.260, 0.300, 0.386, 0.220, 0.291", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.292, samples/s
eval throughput stdev samples per second, 0.055, samples/s
eval io avg, 18.666, MB/s
eval io stdev, 3.520, MB/s
