metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "8.749, 9.327, 9.870, 8.163, 8.637", "s, s, s, s, s"
train metadata time, 44.746, s
train raw read time per epoch, "10.617, 13.981, 12.512, 12.414, 12.218", "s, s, s, s, s"
train total raw read time, 61.743, s
train raw read rate per epoch, "253.167, 192.254, 214.827, 216.535, 220.011", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 219.358, MB/s
train observed time per epoch, "44.641, 47.869, 48.344, 47.032, 49.522", "s, s, s, s, s"
train observed time, 237.407, s
train observed rate per epoch, "62.945, 58.522, 57.924, 59.608, 56.489", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 59.098, MB/s
train throughput samples per second per epoch, "0.941, 0.877, 0.869, 0.893, 0.848", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.886, samples/s
train throughput stdev samples per second, 0.031, samples/s
train io avg, 56.680, MB/s
train io stdev, 1.995, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "2.471, 2.846, 2.597, 3.509, 2.822", "s, s, s, s, s"
eval metadata time, 14.245, s
eval raw read time per epoch, "3.111, 4.485, 4.019, 3.394, 3.768", "s, s, s, s, s"
eval total raw read time, 18.776, s
eval raw read rate per epoch, "246.048, 170.707, 190.734, 226.021, 203.132", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 207.871, MB/s
eval observed time per epoch, "16.016, 18.476, 18.018, 18.278, 18.837", "s, s, s, s, s"
eval observed time, 89.625, s
eval observed rate per epoch, "54.555, 46.438, 47.762, 47.000, 45.445", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 48.240, MB/s
eval throughput samples per second per epoch, "0.749, 0.649, 0.666, 0.657, 0.637", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.672, samples/s
eval throughput stdev samples per second, 0.040, samples/s
eval io avg, 42.986, MB/s
eval io stdev, 2.556, MB/s
