metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "9.715, 12.878, 12.585, 11.986, 12.085", "s, s, s, s, s"
train metadata time, 59.249, s
train raw read time per epoch, "11.676, 15.945, 13.980, 16.376, 13.875", "s, s, s, s, s"
train total raw read time, 71.852, s
train raw read rate per epoch, "230.210, 168.582, 192.275, 164.146, 193.729", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 189.788, MB/s
train observed time per epoch, "56.300, 54.830, 77.647, 65.249, 58.853", "s, s, s, s, s"
train observed time, 312.880, s
train observed rate per epoch, "49.445, 50.819, 35.504, 42.456, 47.229", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 45.091, MB/s
train throughput samples per second per epoch, "0.746, 0.766, 0.541, 0.644, 0.714", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.682, samples/s
train throughput stdev samples per second, 0.082, samples/s
train io avg, 43.650, MB/s
train io stdev, 5.240, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "4.487, 4.126, 3.735, 3.551, 3.580", "s, s, s, s, s"
eval metadata time, 19.478, s
eval raw read time per epoch, "3.259, 6.013, 4.615, 5.462, 4.107", "s, s, s, s, s"
eval total raw read time, 23.456, s
eval raw read rate per epoch, "235.557, 126.838, 165.938, 140.189, 186.920", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 171.481, MB/s
eval observed time per epoch, "31.076, 34.568, 45.363, 34.361, 34.912", "s, s, s, s, s"
eval observed time, 180.280, s
eval observed rate per epoch, "26.357, 23.536, 17.685, 23.687, 23.291", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 22.911, MB/s
eval throughput samples per second per epoch, "0.386, 0.347, 0.265, 0.349, 0.344", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.338, samples/s
eval throughput stdev samples per second, 0.040, samples/s
eval io avg, 21.642, MB/s
eval io stdev, 2.553, MB/s
