metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "10.123, 10.536, 10.592, 9.235, 9.005", "s, s, s, s, s"
train metadata time, 49.490, s
train raw read time per epoch, "10.545, 10.549, 11.840, 11.566, 11.866", "s, s, s, s, s"
train total raw read time, 56.366, s
train raw read rate per epoch, "254.913, 254.810, 227.024, 232.401, 226.531", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 239.136, MB/s
train observed time per epoch, "59.788, 88.116, 98.617, 93.756, 80.958", "s, s, s, s, s"
train observed time, 421.235, s
train observed rate per epoch, "46.465, 31.190, 27.803, 29.274, 34.017", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 33.750, MB/s
train throughput samples per second per epoch, "0.702, 0.477, 0.426, 0.448, 0.519", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.514, samples/s
train throughput stdev samples per second, 0.099, samples/s
train io avg, 32.918, MB/s
train io stdev, 6.340, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "2.943, 3.122, 2.620, 4.518, 2.218", "s, s, s, s, s"
eval metadata time, 15.421, s
eval raw read time per epoch, "3.799, 4.943, 4.621, 19.021, 6.401", "s, s, s, s, s"
eval total raw read time, 38.785, s
eval raw read rate per epoch, "201.225, 154.495, 165.938, 40.054, 119.209", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 136.815, MB/s
eval observed time per epoch, "57.025, 58.574, 85.406, 73.274, 63.175", "s, s, s, s, s"
eval observed time, 337.453, s
eval observed rate per epoch, "13.941, 13.560, 9.200, 10.766, 12.541", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 12.002, MB/s
eval throughput samples per second per epoch, "0.210, 0.205, 0.141, 0.164, 0.190", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.182, samples/s
eval throughput stdev samples per second, 0.026, samples/s
eval io avg, 11.642, MB/s
eval io stdev, 1.681, MB/s
